Open_time,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Close_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,RSI,ATR,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Tweets_Utilizados,Cantidad_neg,Cantidad_neu,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,Tendencia
2021-09-27,0.29050589,0.22341602,449178.00000000,0.52913052,0.53212489,0.50954284,0.54138888,0.55053944,0.53261332,0.50630368,0.12657858,0.32516191,1043885.00000000,0.32194481,0.32561662,0.33606739,0.30339540,0.19759557,0.20504426,457187.00000000,31.84600000,30.83296621,38.30029593,31.84600000,44.10506774,4.00134556,0.00000000,0.00000000,0.00000000,139,28.00000000,50.00000000,81.00000000,525.00000000,364.00000000,Lateral
2021-09-28,0.25390408,0.18620584,362304.00000000,0.50954294,0.50246522,0.48788239,0.50608729,0.49930855,0.49772332,0.47465282,0.12691344,0.30609388,928494.00000000,0.30332895,0.29749026,0.32498337,0.29791895,0.18978984,0.19088634,417006.00000000,31.77350000,30.40220753,38.43888003,31.77350000,41.82616106,3.87553516,4.00000000,2.00000000,5273.00000000,93,21.00000000,32.00000000,87.00000000,472.00000000,331.00000000,Bajista
2021-09-29,0.26572416,0.19535303,376232.00000000,0.48785292,0.49871880,0.49750157,0.47471714,0.49381387,0.49589675,0.48659664,0.09887951,0.24026250,748804.00000000,0.29763469,0.36412808,0.32764354,0.37393209,0.36515586,0.38916396,653011.00000000,31.64650000,30.10485443,38.54851789,31.64650000,43.98572060,3.77585408,22.00000000,40.00000000,54144.00000000,112,19.00000000,32.00000000,64.00000000,594.00000000,495.00000000,Alcista
2021-09-30,0.20969455,0.16016390,339737.00000000,0.49750186,0.52816494,0.54194723,0.48659799,0.51978824,0.51029791,0.52597925,0.12567215,0.31414476,992243.00000000,0.37385020,0.39311986,0.40567502,0.41730559,0.24450449,0.27552859,551245.00000000,31.61800000,29.96343972,38.56491759,31.61800000,46.91734190,3.63900736,15.00000000,23.00000000,39220.00000000,116,28.00000000,42.00000000,77.00000000,419.00000000,464.00000000,Alcista
2021-10-01,0.34866397,0.28148199,735059.00000000,0.54186829,0.61080004,0.62538618,0.52598312,0.59410100,0.54471040,0.60709968,0.16542118,0.43565853,1446386.00000000,0.41721419,0.46797923,0.43914875,0.49178532,0.30716031,0.37060810,727854.00000000,31.63650000,30.15168356,38.58477828,31.63650000,53.42178245,3.65264969,24.00000000,35.00000000,63183.00000000,171,21.00000000,78.00000000,71.00000000,477.00000000,664.00000000,Alcista
2021-10-02,0.22496958,0.19766481,522276.00000000,0.62538610,0.60779330,0.61559365,0.60710071,0.63078498,0.61984224,0.62751747,0.10203158,0.29260272,1046194.00000000,0.49145861,0.50000000,0.50365773,0.50405257,0.21627090,0.27702640,604611.00000000,31.44750000,30.32866607,38.13429856,31.44750000,53.55101685,3.52531757,9.00000000,24.00000000,48971.00000000,97,26.00000000,34.00000000,26.00000000,317.00000000,304.00000000,Lateral
2021-10-03,0.20047282,0.17527497,350329.00000000,0.61559357,0.62471443,0.62651480,0.62752107,0.63579934,0.64215503,0.63537774,0.08466409,0.25152330,816339.00000000,0.50372317,0.49783643,0.52782088,0.51150055,0.16687860,0.21832082,519696.00000000,31.31100000,30.49831692,37.82442583,31.31100000,53.74844463,3.38208060,14.00000000,19.00000000,40780.00000000,119,26.00000000,41.00000000,45.00000000,286.00000000,229.00000000,Lateral
2021-10-04,0.24004329,0.20100206,414743.00000000,0.62651492,0.63056126,0.64632230,0.63537869,0.62238990,0.62323443,0.62713718,0.11959224,0.34010076,1090407.00000000,0.51138852,0.48420597,0.50432277,0.50230011,0.20164471,0.25630512,557908.00000000,31.00050000,30.56038198,36.89339224,31.00050000,51.48600421,3.28836056,10.00000000,13.00000000,40810.00000000,126,15.00000000,53.00000000,62.00000000,412.00000000,302.00000000,Bajista
2021-10-05,0.21908919,0.18662922,374395.00000000,0.64632223,0.67516940,0.68974814,0.62713816,0.65084241,0.64770518,0.66095965,0.09400141,0.27906239,1025512.00000000,0.50240911,0.51254868,0.53336289,0.53691128,0.18109848,0.23989385,623411.00000000,30.74650000,30.63939322,36.08647856,30.74650000,52.02964109,3.17062052,12.00000000,13.00000000,45695.00000000,178,29.00000000,58.00000000,109.00000000,378.00000000,347.00000000,Lateral
2021-10-06,0.38210853,0.31386528,704071.00000000,0.68974827,0.74850527,0.76401703,0.66101562,0.67383192,0.64202196,0.67659625,0.15688685,0.45988452,1444856.00000000,0.53657468,0.50995240,0.51274662,0.52113910,0.26294249,0.34003700,758834.00000000,30.58100000,30.78707006,35.51084746,30.58100000,53.88466972,3.22843334,49.00000000,27.00000000,71162.00000000,250,41.00000000,96.00000000,80.00000000,523.00000000,493.00000000,Alcista
