Open_time,Volume,Quote asset volume,Number of trades,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,RSI,SlowK,SlowD,total_trades_coinbase,Compound total coin,Buy_1000x_high,sell_1000x_high,Tendencia
2021-09-27,0.29050589,0.22341602,449178.0,0.32516191,1043885.0,0.19759557,0.20504426,457187.0,44.10506774,24.79276564,33.77710793,0.0,30.6221,525.0,364.0,Lateral
2021-09-28,0.25390408,0.18620584,362304.0,0.30609388,928494.0,0.18978984,0.19088634,417006.0,41.82616106,16.09949418,24.473925,5273.0,19.8853,472.0,331.0,Bajista
2021-09-29,0.26572416,0.19535303,376232.0,0.2402625,748804.0,0.36515586,0.38916396,653011.0,43.9857206,12.88255723,17.92493902,54144.0,30.2989,594.0,495.0,Alcista
2021-09-30,0.20969455,0.1601639,339737.0,0.31414476,992243.0,0.24450449,0.27552859,551245.0,46.9173419,16.42209732,15.13471625,39220.0,30.8979,419.0,464.0,Alcista
2021-10-01,0.34866397,0.28148199,735059.0,0.43565853,1446386.0,0.30716031,0.3706081,727854.0,53.42178245,34.90484958,21.40316805,63183.0,30.4285,477.0,664.0,Alcista
2021-10-02,0.22496958,0.19766481,522276.0,0.29260272,1046194.0,0.2162709,0.2770264,604611.0,53.55101685,52.81704111,34.71466267,48971.0,23.8329,317.0,304.0,Lateral
2021-10-03,0.20047282,0.17527497,350329.0,0.2515233,816339.0,0.1668786,0.21832082,519696.0,53.74844463,69.9251015,52.5489974,40780.0,13.1734,286.0,229.0,Lateral
2021-10-04,0.24004329,0.20100206,414743.0,0.34010076,1090407.0,0.20164471,0.25630512,557908.0,51.48600421,72.53510467,65.09241576,40810.0,17.9097,412.0,302.0,Bajista
2021-10-05,0.21908919,0.18662922,374395.0,0.27906239,1025512.0,0.18109848,0.23989385,623411.0,52.02964109,73.20379109,71.88799909,45695.0,24.6648,378.0,347.0,Lateral
2021-10-06,0.38210853,0.31386528,704071.0,0.45988452,1444856.0,0.26294249,0.340037,758834.0,53.88466972,74.06312157,73.26733911,71162.0,28.7658,523.0,493.0,Alcista
2021-10-07,0.54924206,0.47861608,1286323.0,0.36342706,1252503.0,0.24346828,0.32154617,736772.0,57.81545022,79.32658551,75.53116606,82810.0,28.2979,639.0,759.0,Alcista
2021-10-08,0.2916279,0.26245111,489045.0,0.30116279,1084792.0,0.3220311,0.40985327,944084.0,56.00602588,81.80467677,78.39812795,57182.0,23.0017,499.0,387.0,Bajista
2021-10-09,0.3310764,0.30871599,853574.0,0.26662939,1175683.0,0.1241238,0.16199,455659.0,62.05535735,86.31882043,82.4833609,74042.0,42.5629,440.0,594.0,Alcista
2021-10-10,0.34786019,0.33156975,784594.0,0.43256205,1765439.0,0.14614976,0.18566619,500068.0,56.70190595,82.26052991,83.46134237,68739.0,36.6363,557.0,431.0,Bajista
2021-10-11,0.30092761,0.27908847,469155.0,0.36486292,1110340.0,0.15306707,0.19355087,509680.0,55.88215846,79.60301387,82.72745474,60922.0,31.7843,510.0,412.0,Lateral
2021-10-12,0.35285728,0.31273481,620021.0,0.29446276,925699.0,0.42635056,0.53178922,953219.0,58.14140611,74.66196355,78.84183578,67722.0,42.0944,425.0,463.0,Alcista
2021-10-13,1.0,1.0,2504028.0,0.28364694,902525.0,0.74718565,1.0,1576761.0,68.89546179,80.36942405,78.21146716,160524.0,70.9719,817.0,1083.0,Alcista
2021-10-14,0.54425307,0.58098989,1204347.0,0.37580193,1430307.0,0.30511526,0.43103378,845772.0,66.14474332,84.44451255,79.82530005,120253.0,55.6585,606.0,501.0,Bajista
2021-10-15,0.59754529,0.64406754,1533664.0,0.4050689,1399937.0,0.32252698,0.44825992,882619.0,69.57536364,89.03144928,84.61512863,129734.0,51.0351,469.0,529.0,Alcista
2021-10-16,0.36254263,0.41189356,821141.0,0.30050715,1037769.0,0.21660405,0.3090154,718791.0,65.33103436,85.75568274,86.41054819,92044.0,16.0589,470.0,361.0,Bajista
2021-10-17,0.27073545,0.30289593,526261.0,0.29020067,1025324.0,0.1826634,0.25906619,546483.0,65.87321491,85.78118899,86.85610701,68283.0,35.4914,283.0,206.0,Lateral
2021-10-18,0.2853885,0.31904675,550249.0,0.31555895,994548.0,0.22804727,0.32752431,694852.0,63.14277102,80.21697511,83.91794895,70832.0,43.33,271.0,271.0,Bajista
2021-10-19,0.22763849,0.25297266,405631.0,0.26669787,925015.0,0.18761974,0.27925195,685710.0,63.43485097,79.34482025,81.78099479,67030.0,51.9866,337.0,249.0,Lateral
2021-10-20,0.35240442,0.40302233,991320.0,0.45477601,1766454.0,0.19530116,0.29414644,693317.0,68.33144198,83.13708398,80.89962645,94847.0,40.6379,350.0,415.0,Alcista
2021-10-21,0.39351781,0.45314378,1014715.0,0.71731892,2380751.0,0.40035301,0.57826967,1225287.0,63.62446898,84.15458744,82.21216389,101951.0,40.151,399.0,272.0,Bajista
2021-10-22,0.42929471,0.50202751,1241116.0,0.39338912,1133846.0,0.23435915,0.34260957,722480.0,64.73385208,84.76826883,84.01998008,102141.0,43.8794,429.0,426.0,Alcista
2021-10-23,0.15205797,0.18770291,441867.0,0.27185257,940891.0,0.09917742,0.15150855,425737.0,65.47845542,80.95467362,83.29250996,58540.0,19.3131,224.0,183.0,Lateral
2021-10-24,0.18341282,0.21637711,487576.0,0.29361496,917969.0,0.11479671,0.17177448,483168.0,60.3626816,78.11918063,81.28070769,64449.0,34.3004,261.0,182.0,Bajista
2021-10-25,0.18428051,0.22230193,507703.0,0.29888566,939963.0,0.12412226,0.18745053,548234.0,64.44833657,80.54003724,79.87129716,62321.0,49.7125,247.0,248.0,Alcista
2021-10-26,0.23651973,0.28428397,778131.0,0.36409266,1285913.0,0.14008696,0.21018291,589181.0,65.10544249,82.42358745,80.36093511,88554.0,52.6212,249.0,286.0,Lateral
2021-10-27,0.47113565,0.51824528,1215968.0,0.61528211,1872190.0,0.29144645,0.40087474,973507.0,52.7087553,66.1297235,76.3644494,112155.0,21.2946,397.0,308.0,Bajista
2021-10-28,0.30544766,0.3408707,726484.0,0.55172198,1711575.0,0.32608511,0.462923,1074597.0,55.51253226,50.60350138,66.38560411,100342.0,42.2131,328.0,251.0,Alcista
2021-10-29,0.22607776,0.26494976,560104.0,0.51931909,1799386.0,0.30070938,0.45993617,1222937.0,59.92534103,44.90680537,53.88001008,85357.0,49.7076,251.0,261.0,Alcista
2021-10-30,0.127371,0.15713497,339208.0,0.30425194,1035476.0,0.22895929,0.36482505,1048477.0,56.21627514,54.8331166,50.11447445,55452.0,29.5941,160.0,123.0,Bajista
