Open_time,Volume,Quote asset volume,Number of trades,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,RSI,SlowK,SlowD,total_trades_coinbase,Compound total coin,Buy_1000x_high,sell_1000x_high,Tendencia
2021-09-27,11094418.1,320340017.821,449178.0,1564096695.372967,1043885.0,956544.069,332372476.5115,457187.0,44.10506774,24.79276564,33.77710793,0.0,30.6221,525.0,364.0,Lateral
2021-09-28,9784154.53,267560973.6882,362304.0,1477983245.669702,928494.0,922077.227,310828343.6974,417006.0,41.82616106,16.09949418,24.473925,5273.0,19.8853,472.0,331.0,Bajista
2021-09-29,10207287.33,280535376.3754,376232.0,1180681056.162314,748804.0,1696420.045,612547661.8839,653011.0,43.9857206,12.88255723,17.92493902,54144.0,30.2989,594.0,495.0,Alcista
2021-09-30,8201551.44,230622998.4301,339737.0,1514341937.307116,992243.0,1163674.206,439628574.4184,551245.0,46.9173419,16.42209732,15.13471625,39220.0,30.8979,419.0,464.0,Alcista
2021-10-01,13176348.21,402700970.6451,735059.0,2063112280.6677911,1446386.0,1440336.041,584311192.716,727854.0,53.42178245,34.90484958,21.40316805,63183.0,30.4285,477.0,664.0,Alcista
2021-10-02,8748363.88,283814409.5519,522276.0,1417055615.816637,1046194.0,1039006.518,441907791.7276,604611.0,53.55101685,52.81704111,34.71466267,48971.0,23.8329,317.0,304.0,Lateral
2021-10-03,7871434.22,252056591.1485,350329.0,1231536168.3153627,816339.0,820910.792,352575425.7036,519696.0,53.74844463,69.9251015,52.5489974,40780.0,13.1734,286.0,229.0,Lateral
2021-10-04,9287969.05,288547980.6628,414743.0,1631562261.554976,1090407.0,974423.359,410376184.3993,557908.0,51.48600421,72.53510467,65.09241576,40810.0,17.9097,412.0,302.0,Bajista
2021-10-05,8537858.77,268161491.1291,374395.0,1355905889.610947,1025512.0,883699.828,385403145.0597,623411.0,52.02964109,73.20379109,71.88799909,45695.0,24.6648,378.0,347.0,Lateral
2021-10-06,14373589.09,448633539.3,704071.0,2172519696.562985,1444856.0,1245088.683,537791098.8015,758834.0,53.88466972,74.06312157,73.26733911,71162.0,28.7658,523.0,493.0,Alcista
2021-10-07,20356598.29,682316606.8833,1286323.0,1736906584.27609,1252503.0,1159098.7447,509653579.8304,736772.0,57.81545022,79.32658551,75.53116606,82810.0,28.2979,639.0,759.0,Alcista
2021-10-08,11134583.44,375707512.1365,489045.0,1455713871.288283,1084792.0,1505999.188,644030609.2269,944084.0,56.00602588,81.80467677,78.39812795,57182.0,23.0017,499.0,387.0,Bajista
2021-10-09,12546752.37,441329764.1236,853574.0,1299757023.499163,1175683.0,632123.526,266856749.2173,455659.0,62.05535735,86.31882043,82.4833609,74042.0,42.5629,440.0,594.0,Alcista
2021-10-10,13147574.66,473745609.4813,784594.0,2049128230.3442593,1765439.0,729380.963,302884829.9452,500068.0,56.70190595,82.26052991,83.46134237,68739.0,36.6363,557.0,431.0,Bajista
2021-10-11,11467492.31,399306003.0663,469155.0,1743391083.658808,1110340.0,759924.884,314882971.6098,509680.0,55.88215846,79.60301387,82.72745474,60922.0,31.7843,510.0,412.0,Lateral
2021-10-12,13326459.4,447030078.0177,620021.0,1425455761.406618,925699.0,1966630.183,829580710.1161999,953219.0,58.14140611,74.66196355,78.84183578,67722.0,42.0944,425.0,463.0,Alcista
2021-10-13,36492731.213,1421849266.390259,2504028.0,1376610269.516408,902525.0,3383303.439,1542057671.3891,1576761.0,68.89546179,80.36942405,78.21146716,160524.0,70.9719,817.0,1083.0,Alcista
2021-10-14,20178003.61,827523963.6018999,1204347.0,1792792932.944189,1430307.0,1431305.925,676261023.816744,845772.0,66.14474332,84.44451255,79.82530005,120253.0,55.6585,606.0,501.0,Bajista
2021-10-15,22085746.426,916993507.345612,1533664.0,1924965953.8584993,1399937.0,1508188.787,702474058.1554,882619.0,69.57536364,89.03144928,84.61512863,129734.0,51.0351,469.0,529.0,Alcista
2021-10-16,13673173.229,587677170.4371511,821141.0,1452752901.397648,1037769.0,1040477.571,490585492.1044,718791.0,65.33103436,85.75568274,86.41054819,92044.0,16.0589,470.0,361.0,Bajista
2021-10-17,10386680.07,433074569.9368,526261.0,1406207658.840768,1025324.0,890609.849,414577714.959,546483.0,65.87321491,85.78118899,86.85610701,68283.0,35.4914,283.0,206.0,Lateral
2021-10-18,10911226.84,455982949.0426,550249.0,1520728621.310328,994548.0,1091006.031,518750531.8773,694852.0,63.14277102,80.21697511,83.91794895,70832.0,43.33,271.0,271.0,Bajista
2021-10-19,8843904.77,362263239.5587,405631.0,1300066269.933142,925015.0,912494.969,445294411.0935,685710.0,63.43485097,79.34482025,81.78099479,67030.0,51.9866,337.0,249.0,Lateral
2021-10-20,13310248.053,575094186.704693,991320.0,2149449047.3673105,1766454.0,946412.94,467959376.3972,693317.0,68.33144198,83.13708398,80.89962645,94847.0,40.6379,350.0,415.0,Alcista
2021-10-21,14782015.916,646186612.180047,1014715.0,3335123440.998212,2380751.0,1851835.929,900310066.4435,1225287.0,63.62446898,84.15458744,82.21216389,101951.0,40.151,399.0,272.0,Bajista
2021-10-22,16062749.38,715523454.98632,1241116.0,1872218697.8510969,1133846.0,1118876.638,541705782.6395,722480.0,64.73385208,84.76826883,84.01998008,102141.0,43.8794,429.0,426.0,Alcista
2021-10-23,6138290.14,269684423.4478,441867.0,1323345505.757517,940891.0,521970.795,250907116.8612,425737.0,65.47845542,80.95467362,83.29250996,58540.0,19.3131,224.0,183.0,Lateral
