Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,SlowK,SlowD,ATR,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Tweets_Utilizados_referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance,Tendencia
2021-09-27,28.84000000,30.26000000,27.50000000,27.71000000,11094418.10000000,320340017.82099998,449178.00000000,43160.90000000,44350.00000000,42098.00000000,42147.35000000,39776.84383000,1001487.00000000,3059.36000000,3164.94000000,2922.71000000,2925.59000000,510130.73190000,1564096695.37296700,1043885.00000000,344.00000000,357.60000000,335.00000000,335.50000000,956544.06900000,332372476.51150000,457187.00000000,31.84600000,30.83296621,38.30029593,31.84600000,25.39170407,44.10506774,0.01533379,0.96198295,24.79276564,33.77710793,4.00134556,0.00000000,0.00000000,0.00000000,139,61.00000000,28.00000000,50.00000000,17.83400000,135,71.00000000,26.00000000,38.00000000,30.62210000,1.00000000,81.00000000,525.00000000,364.00000000,270000.00000000,Lateral
2021-09-28,27.72000000,28.38000000,26.14000000,26.31000000,9784154.53000000,267560973.68820000,362304.00000000,42147.35000000,42787.38000000,40888.00000000,41026.54000000,43372.26240000,1045389.00000000,2924.76000000,2970.82000000,2789.00000000,2804.91000000,511325.46430000,1477983245.66970205,928494.00000000,335.50000000,344.60000000,330.00000000,333.00000000,922077.22700000,310828343.69739997,417006.00000000,31.77350000,30.40220753,38.43888003,31.77350000,25.10811997,41.82616106,-0.33105913,0.70337453,16.09949418,24.47392500,3.87553516,4.00000000,2.00000000,5273.00000000,93,40.00000000,21.00000000,32.00000000,10.18160000,122,57.00000000,23.00000000,42.00000000,19.88530000,2.00000000,87.00000000,472.00000000,331.00000000,204000.00000000,Bajista
2021-09-29,26.31000000,28.59000000,26.11000000,27.28000000,10207287.33000000,280535376.37540001,376232.00000000,41025.01000000,42590.00000000,40753.88000000,41524.28000000,33511.53487000,884909.00000000,2805.15000000,2950.00000000,2782.00000000,2850.45000000,411305.08930000,1180681056.16231394,748804.00000000,332.90000000,375.40000000,331.20000000,367.70000000,1696420.04500000,612547661.88390005,653011.00000000,31.64650000,30.10485443,38.54851789,31.64650000,24.74448211,43.98572060,-0.52129792,0.45844004,12.88255723,17.92493902,3.77585408,22.00000000,40.00000000,54144.00000000,112,61.00000000,19.00000000,32.00000000,23.13170000,145,71.00000000,20.00000000,54.00000000,30.29890000,0.00000000,64.00000000,594.00000000,495.00000000,216000.00000000,Alcista
2021-09-30,27.28000000,28.99000000,27.13000000,28.62000000,8201551.44000000,230622998.43009999,339737.00000000,41524.29000000,44141.37000000,41410.17000000,43824.10000000,46381.22781000,1197815.00000000,2850.45000000,3048.42000000,2837.19000000,3000.61000000,506896.76120000,1514341937.30711603,992243.00000000,367.70000000,388.80000000,366.40000000,387.50000000,1163674.20600000,439628574.41839999,551245.00000000,31.61800000,29.96343972,38.56491759,31.61800000,24.67108241,46.91734190,-0.55751010,0.25525001,16.42209732,15.13471625,3.63900736,15.00000000,23.00000000,39220.00000000,116,46.00000000,28.00000000,42.00000000,7.67840000,147,73.00000000,26.00000000,48.00000000,30.89790000,2.00000000,77.00000000,419.00000000,464.00000000,202000.00000000,Alcista
2021-10-01,28.61000000,32.33000000,28.50000000,31.94000000,13176348.21000000,402700970.64510000,735059.00000000,43820.01000000,48495.00000000,43283.03000000,48141.61000000,66244.87492000,1771237.00000000,3000.62000000,3330.00000000,2969.07000000,3309.91000000,648714.61510000,2063112280.66779113,1446386.00000000,387.50000000,423.40000000,381.50000000,421.50000000,1440336.04100000,584311192.71599996,727854.00000000,31.63650000,30.15168356,38.58477828,31.63650000,24.68822172,53.42178245,-0.31468477,0.14126306,34.90484958,21.40316805,3.65264969,24.00000000,35.00000000,63183.00000000,171,72.00000000,21.00000000,78.00000000,30.72020000,141,70.00000000,18.00000000,53.00000000,30.42850000,1.00000000,71.00000000,477.00000000,664.00000000,492000.00000000,Alcista
2021-10-02,31.94000000,33.39000000,31.52000000,32.01000000,8748363.88000000,283814409.55190003,522276.00000000,48141.60000000,48336.59000000,47430.18000000,47634.90000000,30508.98131000,996116.00000000,3309.91000000,3469.00000000,3257.00000000,3387.76000000,422551.18110000,1417055615.81663704,1046194.00000000,421.40000000,438.20000000,410.60000000,427.10000000,1039006.51800000,441907791.72759998,604611.00000000,31.44750000,30.32866607,38.13429856,31.44750000,24.76070144,53.55101685,-0.11526681,0.08995709,52.81704111,34.71466267,3.52531757,9.00000000,24.00000000,48971.00000000,97,37.00000000,26.00000000,34.00000000,8.96820000,111,57.00000000,21.00000000,33.00000000,23.83290000,0.00000000,26.00000000,317.00000000,304.00000000,347000.00000000,Lateral
2021-10-03,32.01000000,32.69000000,31.17000000,32.11000000,7871434.22000000,252056591.14850000,350329.00000000,47634.89000000,49228.08000000,47088.00000000,48200.01000000,30825.05601000,1114294.00000000,3387.77000000,3488.00000000,3342.51000000,3417.73000000,360586.89050000,1231536168.31536269,816339.00000000,427.00000000,437.20000000,421.50000000,430.50000000,820910.79200000,352575425.70359999,519696.00000000,31.31100000,30.49831692,37.82442583,31.31100000,24.79757417,53.74844463,0.05026313,0.08201829,69.92510150,52.54899740,3.38208060,14.00000000,19.00000000,40780.00000000,119,52.00000000,26.00000000,41.00000000,12.80510000,125,53.00000000,33.00000000,39.00000000,13.17340000,0.00000000,45.00000000,286.00000000,229.00000000,209000.00000000,Lateral
2021-10-04,32.10000000,32.11000000,30.04000000,31.15000000,9287969.05000000,288547980.66280001,414743.00000000,48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000,1437692.00000000,3417.73000000,3437.19000000,3270.00000000,3386.31000000,485204.64200000,1631562261.55497599,1090407.00000000,430.50000000,430.90000000,410.90000000,426.30000000,974423.35900000,410376184.39929998,557908.00000000,31.00050000,30.56038198,36.89339224,31.00050000,25.10760776,51.48600421,0.10279783,0.08617420,72.53510467,65.09241576,3.28836056,10.00000000,13.00000000,40810.00000000,126,58.00000000,15.00000000,53.00000000,23.15940000,149,67.00000000,36.00000000,46.00000000,17.90970000,0.00000000,62.00000000,412.00000000,302.00000000,251000.00000000,Bajista
2021-10-05,31.15000000,32.16000000,30.52000000,31.39000000,8537858.77000000,268161491.12909999,374395.00000000,49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000,1641651.00000000,3386.31000000,3545.00000000,3363.78000000,3515.27000000,393900.88180000,1355905889.61094689,1025512.00000000,426.40000000,444.00000000,424.00000000,442.10000000,883699.82800000,385403145.05970001,623411.00000000,30.74650000,30.63939322,36.08647856,30.74650000,25.40652144,52.02964109,0.16193130,0.10132562,73.20379109,71.88799909,3.17062052,12.00000000,13.00000000,45695.00000000,178,91.00000000,29.00000000,58.00000000,31.06330000,141,67.00000000,23.00000000,51.00000000,24.66480000,0.00000000,109.00000000,378.00000000,347.00000000,222000.00000000,Lateral
2021-10-06,31.39000000,33.09000000,29.11000000,32.19000000,14373589.09000000,448633539.30000001,704071.00000000,51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100,2443126.00000000,3515.48000000,3632.11000000,3342.00000000,3574.89000000,618265.54020000,2172519696.56298494,1444856.00000000,442.00000000,442.80000000,414.70000000,434.90000000,1245088.68300000,537791098.80149996,758834.00000000,30.58100000,30.78707006,35.51084746,30.58100000,25.65115254,53.88466972,0.27023324,0.13510715,74.06312157,73.26733911,3.22843334,49.00000000,27.00000000,71162.00000000,250,113.00000000,41.00000000,96.00000000,40.86870000,131,72.00000000,22.00000000,37.00000000,28.76580000,3.00000000,80.00000000,523.00000000,493.00000000,467000.00000000,Alcista
2021-10-07,32.19000000,35.31000000,30.93000000,33.98000000,20356598.29000000,682316606.88329995,1286323.00000000,55315.00000000,55332.31000000,53357.00000000,53785.22000000,54917.37766000,1703147.00000000,3574.88000000,3653.98000000,3470.80000000,3587.47000000,486102.35910000,1736906584.27608991,1252503.00000000,434.90000000,450.00000000,423.60000000,438.50000000,1159098.74470000,509653579.83039999,736772.00000000,30.62850000,31.09115862,35.66888600,30.62850000,25.58811400,57.81545022,0.49479763,0.20704524,79.32658551,75.53116606,3.31068810,31.00000000,37.00000000,82810.00000000,113,51.00000000,22.00000000,40.00000000,16.07340000,149,79.00000000,21.00000000,49.00000000,28.29790000,0.00000000,145.00000000,639.00000000,759.00000000,841000.00000000,Alcista
2021-10-08,33.98000000,34.49000000,33.03000000,33.35000000,11134583.44000000,375707512.13650000,489045.00000000,53785.22000000,56100.00000000,53617.61000000,53951.43000000,46160.25785000,1548832.00000000,3587.47000000,3695.00000000,3532.00000000,3563.13000000,403597.14370000,1455713871.28828311,1084792.00000000,438.50000000,441.60000000,415.70000000,419.20000000,1505999.18800000,644030609.22689998,944084.00000000,30.55250000,31.30628637,35.37594638,30.55250000,25.72905362,56.00602588,0.61484327,0.28860485,81.80467677,78.39812795,3.17849609,31.00000000,22.00000000,57182.00000000,96,48.00000000,15.00000000,33.00000000,17.93070000,130,61.00000000,26.00000000,43.00000000,23.00170000,0.00000000,98.00000000,499.00000000,387.00000000,269000.00000000,Bajista
2021-10-09,33.36000000,36.90000000,33.00000000,36.33000000,12546752.37000000,441329764.12360001,853574.00000000,53955.67000000,55489.00000000,53661.67000000,54949.72000000,55177.08013000,1609483.00000000,3563.13000000,3635.00000000,3538.07000000,3574.82000000,361906.75140000,1299757023.49916291,1175683.00000000,419.30000000,426.00000000,416.00000000,421.90000000,632123.52600000,266856749.21730000,455659.00000000,30.67650000,31.78473529,35.94008538,30.67650000,25.41291462,62.05535735,0.93961015,0.41880591,86.31882043,82.48336090,3.23003209,25.00000000,35.00000000,74042.00000000,100,44.00000000,18.00000000,38.00000000,14.18920000,162,85.00000000,17.00000000,60.00000000,42.56290000,0.00000000,23.00000000,440.00000000,594.00000000,611000.00000000,Alcista
2021-10-10,36.33000000,37.45000000,34.13000000,34.43000000,13147574.66000000,473745609.48130000,784594.00000000,54949.72000000,56561.31000000,54080.00000000,54659.00000000,89237.83612800,2427176.00000000,3574.83000000,3604.00000000,3405.00000000,3414.22000000,580223.63020000,2049128230.34425926,1765439.00000000,421.90000000,422.30000000,402.00000000,404.10000000,729380.96300000,302884829.94520003,500068.00000000,30.98250000,32.03666526,36.37030800,30.98250000,25.59469200,56.70190595,1.03178238,0.54140120,82.26052991,83.46134237,3.23645836,38.00000000,27.00000000,68739.00000000,97,35.00000000,17.00000000,45.00000000,12.74720000,156,83.00000000,25.00000000,48.00000000,36.63630000,0.00000000,12.00000000,557.00000000,431.00000000,488000.00000000,Bajista
2021-10-11,34.42000000,36.09000000,33.25000000,34.13000000,11467492.31000000,399306003.06629997,469155.00000000,54659.01000000,57839.04000000,54415.06000000,57471.35000000,52933.16575100,1690409.00000000,3414.22000000,3623.80000000,3371.00000000,3542.12000000,493521.88200000,1743391083.65880799,1110340.00000000,404.00000000,424.00000000,399.80000000,413.10000000,759924.88400000,314882971.60979998,509680.00000000,31.36950000,32.23603047,36.48736469,31.36950000,26.25163531,55.88215846,1.06830726,0.64678241,79.60301387,82.72745474,3.20813991,5.00000000,25.00000000,60922.00000000,175,68.00000000,38.00000000,69.00000000,17.86090000,145,75.00000000,28.00000000,42.00000000,31.78430000,3.00000000,52.00000000,510.00000000,412.00000000,286000.00000000,Lateral
2021-10-12,34.12000000,35.43000000,32.07000000,35.17000000,13326459.40000000,447030078.01770002,620021.00000000,57471.35000000,57680.00000000,53879.00000000,55996.93000000,53471.28550000,1554412.00000000,3542.12000000,3547.11000000,3403.21000000,3491.46000000,409377.19180000,1425455761.40661812,925699.00000000,413.20000000,444.50000000,392.20000000,444.20000000,1966630.18300000,829580710.11619985,953219.00000000,31.54800000,32.51545614,36.92789071,31.54800000,26.16810929,58.14140611,1.16771214,0.75096836,74.66196355,78.84183578,3.21898706,18.00000000,16.00000000,67722.00000000,128,65.00000000,24.00000000,39.00000000,23.98270000,163,92.00000000,27.00000000,44.00000000,42.09440000,4.00000000,82.00000000,425.00000000,463.00000000,398000.00000000,Alcista
2021-10-13,35.16000000,43.22000000,33.57000000,41.69000000,36492731.21300000,1421849266.39025903,2504028.00000000,55996.91000000,57777.00000000,54167.19000000,57367.00000000,55808.44492000,1610489.00000000,3491.43000000,3613.00000000,3412.70000000,3607.42000000,393463.12220000,1376610269.51640797,902525.00000000,444.10000000,471.80000000,432.30000000,470.80000000,3383303.43900000,1542057671.38910007,1576761.00000000,31.96200000,33.38922223,38.90003027,31.96200000,25.02396973,68.89546179,1.75240015,0.95125472,80.36942405,78.21146716,3.67834513,69.00000000,118.00000000,160524.00000000,144,58.00000000,26.00000000,60.00000000,15.73630000,292,152.00000000,36.00000000,104.00000000,70.97190000,1.00000000,113.00000000,817.00000000,1083.00000000,1807000.00000000,Alcista
2021-10-14,41.69000000,42.54000000,39.33000000,40.71000000,20178003.61000000,827523963.60189986,1204347.00000000,57370.83000000,58532.54000000,56818.05000000,57347.94000000,43053.33678100,1372048.00000000,3607.41000000,3824.00000000,3586.04000000,3790.82000000,481894.14730000,1792792932.94418907,1430307.00000000,470.70000000,482.80000000,461.20000000,472.70000000,1431305.92500000,676261023.81674397,845772.00000000,32.45800000,34.08643916,40.34361881,32.45800000,24.57238119,66.14474332,2.11234204,1.18347218,84.44451255,79.82530005,3.64489190,33.00000000,38.00000000,120253.00000000,160,68.00000000,27.00000000,65.00000000,23.26980000,202,117.00000000,24.00000000,61.00000000,55.65850000,3.00000000,100.00000000,606.00000000,501.00000000,690000.00000000,Bajista
2021-10-15,40.69000000,44.24000000,39.45000000,43.28000000,22085746.42600000,916993507.34561205,1533664.00000000,57347.94000000,62933.00000000,56850.00000000,61672.42000000,82512.90802200,2649137.00000000,3790.82000000,3907.77000000,3734.10000000,3868.99000000,504321.73200000,1924965953.85849929,1399937.00000000,472.70000000,478.00000000,450.80000000,474.50000000,1508188.78700000,702474058.15540004,882619.00000000,33.13100000,34.96201638,42.20858756,33.13100000,24.05341244,69.57536364,2.57528977,1.46183570,89.03144928,84.61512863,3.72668534,30.00000000,42.00000000,129734.00000000,310,143.00000000,41.00000000,126.00000000,52.78630000,201,106.00000000,26.00000000,69.00000000,51.03510000,1.00000000,111.00000000,469.00000000,529.00000000,1113000.00000000,Alcista
2021-10-16,43.27000000,44.78000000,41.26000000,41.75000000,13673173.22900000,587677170.43715107,821141.00000000,61672.42000000,62378.42000000,60150.00000000,60875.57000000,35467.88096000,1360379.00000000,3868.38000000,3971.00000000,3803.56000000,3829.96000000,373727.85490000,1452752901.39764810,1037769.00000000,474.50000000,484.70000000,423.00000000,465.80000000,1040477.57100000,490585492.10439998,718791.00000000,33.77650000,35.60849101,43.36351262,33.77650000,24.18948738,65.33103436,2.78659879,1.72678832,85.75568274,86.41054819,3.71192210,20.00000000,30.00000000,92044.00000000,122,59.00000000,20.00000000,43.00000000,24.00610000,139,58.00000000,30.00000000,51.00000000,16.05890000,0.00000000,46.00000000,470.00000000,361.00000000,483000.00000000,Bajista
2021-10-17,41.74000000,42.87000000,39.52000000,42.12000000,10386680.07000000,433074569.93680000,526261.00000000,60875.57000000,61718.39000000,58963.00000000,61528.33000000,39099.24124000,1331655.00000000,3829.96000000,3919.19000000,3640.00000000,3846.85000000,368898.98310000,1406207658.84076810,1025324.00000000,465.80000000,472.40000000,454.20000000,470.90000000,890609.84900000,414577714.95899999,546483.00000000,34.49700000,36.22863472,44.31517926,34.49700000,24.67882074,65.87321491,2.94991385,1.97141342,85.78118899,86.85610701,3.68607052,25.00000000,33.00000000,68283.00000000,104,42.00000000,21.00000000,41.00000000,12.34570000,144,74.00000000,16.00000000,54.00000000,35.49140000,0.00000000,23.00000000,283.00000000,206.00000000,333000.00000000,Lateral
2021-10-18,42.11000000,43.25000000,40.25000000,41.17000000,10911226.84000000,455982949.04259998,550249.00000000,61528.32000000,62695.78000000,59844.45000000,62009.84000000,51798.44844000,1629184.00000000,3847.00000000,3893.14000000,3676.00000000,3744.96000000,401819.97340000,1520728621.31032801,994548.00000000,471.00000000,487.60000000,466.40000000,484.90000000,1091006.03100000,518750531.87730002,694852.00000000,35.24000000,36.69924094,44.71041921,35.24000000,25.76958079,63.14277102,2.96846651,2.17082404,80.21697511,83.91794895,3.63706548,17.00000000,18.00000000,70832.00000000,160,74.00000000,15.00000000,71.00000000,32.37310000,196,98.00000000,27.00000000,71.00000000,43.33000000,0.00000000,102.00000000,271.00000000,271.00000000,344000.00000000,Bajista
