Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Sentimiento,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Sentimiento_coin,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Sentimiento_referentes,Tweets_Utilizados_referentes,Cantidad_pos_referentes,Cantidad_neg_referentes,Cantidad_neu_referentes,Compound total referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance,Tendencia
2021-09-27,0.50200275,0.51720786,0.49257171,0.47957984,0.29050589,0.22341602,449178.00000000,0.52913052,0.53212489,0.52460864,0.50954284,0.04097908,0.08586041,1001487.00000000,0.54138888,0.55053944,0.53261332,0.50630368,0.12657858,0.32516191,1043885.00000000,0.32194481,0.32561662,0.33606739,0.30339540,0.19759557,0.20504426,457187.00000000,31.84600000,30.83296621,38.30029593,31.84600000,25.39170407,44.10506774,0.01533379,0.96198295,21.20275763,24.79276564,33.77710793,-86.29920354,4.00134556,29.23077276,0.00000000,0.00000000,0.00000000,pos,139,61.00000000,28.00000000,50.00000000,17.83400000,pos,135,71.00000000,26.00000000,38.00000000,30.62210000,neu,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,81.00000000,525.00000000,364.00000000,270000.00000000,0
2021-09-28,0.47968355,0.48065332,0.46458702,0.45167527,0.25390408,0.18620584,362304.00000000,0.50954294,0.50246522,0.50076459,0.48788239,0.04576191,0.09093715,1045389.00000000,0.50608729,0.49930855,0.49772332,0.47465282,0.12691344,0.30609388,928494.00000000,0.30332895,0.29749026,0.32498337,0.29791895,0.18978984,0.19088634,417006.00000000,31.77350000,30.40220753,38.43888003,31.77350000,25.10811997,41.82616106,-0.33105913,0.70337453,21.98379961,16.09949418,24.47392500,-109.45883344,3.87553516,19.19437830,4.00000000,2.00000000,5273.00000000,pos,93,40.00000000,21.00000000,32.00000000,10.18160000,pos,122,57.00000000,23.00000000,42.00000000,19.88530000,neu,2.00000000,1.00000000,1.00000000,0.00000000,0.01960000,87.00000000,472.00000000,331.00000000,204000.00000000,-1
2021-09-29,0.45158526,0.48473654,0.46396971,0.47100915,0.26572416,0.19535303,376232.00000000,0.48785292,0.49871880,0.49812164,0.49750157,0.03264460,0.06673188,884909.00000000,0.47471714,0.49381387,0.49589675,0.48659664,0.09887951,0.24026250,748804.00000000,0.29763469,0.36412808,0.32764354,0.37393209,0.36515586,0.38916396,653011.00000000,31.64650000,30.10485443,38.54851789,31.64650000,24.74448211,43.98572060,-0.52129792,0.45844004,22.60823115,12.88255723,17.92493902,-92.92616568,3.77585408,23.81972421,22.00000000,40.00000000,54144.00000000,pos,112,61.00000000,19.00000000,32.00000000,23.13170000,pos,145,71.00000000,20.00000000,54.00000000,30.29890000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,64.00000000,594.00000000,495.00000000,216000.00000000,1
2021-09-30,0.47091529,0.49251410,0.48495823,0.49771781,0.20969455,0.16016390,339737.00000000,0.49750186,0.52816494,0.51105438,0.54194723,0.04976461,0.10192680,1197815.00000000,0.48659799,0.51978824,0.51029791,0.52597925,0.12567215,0.31414476,992243.00000000,0.37385020,0.39311986,0.40567502,0.41730559,0.24450449,0.27552859,551245.00000000,31.61800000,29.96343972,38.56491759,31.61800000,24.67108241,46.91734190,-0.55751010,0.25525001,22.98784301,16.42209732,15.13471625,-60.02959674,3.63900736,28.33650987,15.00000000,23.00000000,39220.00000000,pos,116,46.00000000,28.00000000,42.00000000,7.67840000,pos,147,73.00000000,26.00000000,48.00000000,30.89790000,pos,2.00000000,1.00000000,0.00000000,1.00000000,0.75060000,77.00000000,419.00000000,464.00000000,202000.00000000,1
2021-10-01,0.49741934,0.55745674,0.51314869,0.56389149,0.34866397,0.28148199,735059.00000000,0.54186829,0.61080004,0.54796064,0.62538618,0.07618839,0.16411931,1771237.00000000,0.52598312,0.59410100,0.54471040,0.60709968,0.16542118,0.43565853,1446386.00000000,0.41721419,0.46797923,0.43914875,0.49178532,0.30716031,0.37060810,727854.00000000,31.63650000,30.15168356,38.58477828,31.63650000,24.68822172,53.42178245,-0.31468477,0.14126306,21.86331886,34.90484958,21.40316805,34.16969653,3.65264969,35.01624902,24.00000000,35.00000000,63183.00000000,pos,171,72.00000000,21.00000000,78.00000000,30.72020000,pos,141,70.00000000,18.00000000,53.00000000,30.42850000,pos,1.00000000,1.00000000,0.00000000,0.00000000,0.82010000,71.00000000,477.00000000,664.00000000,492000.00000000,1
2021-10-02,0.56377912,0.57806728,0.57529116,0.56528672,0.22496958,0.19766481,522276.00000000,0.62538610,0.60779330,0.62968368,0.61559365,0.02865043,0.07018476,996116.00000000,0.60710071,0.63078498,0.61984224,0.62751747,0.10203158,0.29260272,1046194.00000000,0.49145861,0.50000000,0.50365773,0.50405257,0.21627090,0.27702640,604611.00000000,31.44750000,30.32866607,38.13429856,31.44750000,24.76070144,53.55101685,-0.11526681,0.08995709,20.41806319,52.81704111,34.71466267,96.94790226,3.52531757,34.38818088,9.00000000,24.00000000,48971.00000000,pos,97,37.00000000,26.00000000,34.00000000,8.96820000,pos,111,57.00000000,21.00000000,33.00000000,23.83290000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,26.00000000,317.00000000,304.00000000,347000.00000000,1
2021-10-03,0.56517407,0.56445654,0.56808922,0.56727990,0.20047282,0.17527497,350329.00000000,0.61559357,0.62471443,0.62294074,0.62651480,0.02907089,0.07156149,1114294.00000000,0.62752107,0.63579934,0.64215503,0.63537774,0.08466409,0.25152330,816339.00000000,0.50372317,0.49783643,0.52782088,0.51150055,0.16687860,0.21832082,519696.00000000,31.31100000,30.49831692,37.82442583,31.31100000,24.79757417,53.74844463,0.05026313,0.08201829,19.20445881,69.92510150,52.54899740,97.85997093,3.38208060,34.47312094,14.00000000,19.00000000,40780.00000000,pos,119,52.00000000,26.00000000,41.00000000,12.80510000,pos,125,53.00000000,33.00000000,39.00000000,13.17340000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,45.00000000,286.00000000,229.00000000,209000.00000000,1
2021-10-04,0.56696758,0.55317908,0.54483724,0.54814534,0.24004329,0.20100206,414743.00000000,0.62651492,0.63056126,0.61905869,0.64632230,0.05031703,0.11662251,1437692.00000000,0.63537869,0.62238990,0.62323443,0.62713718,0.11959224,0.34010076,1090407.00000000,0.51138852,0.48420597,0.50432277,0.50230011,0.20164471,0.25630512,557908.00000000,31.00050000,30.56038198,36.89339224,31.00050000,25.10760776,51.48600421,0.10279783,0.08617420,18.48969154,72.53510467,65.09241576,53.11219140,3.28836056,37.76142589,10.00000000,13.00000000,40810.00000000,pos,126,58.00000000,15.00000000,53.00000000,23.15940000,pos,149,67.00000000,36.00000000,46.00000000,17.90970000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,62.00000000,412.00000000,302.00000000,251000.00000000,-1
2021-10-05,0.54803611,0.55415127,0.55471419,0.55292898,0.21908919,0.18662922,374395.00000000,0.64632223,0.67516940,0.66105970,0.68974814,0.05740620,0.13751413,1641651.00000000,0.62713816,0.65084241,0.64770518,0.66095965,0.09400141,0.27906239,1025512.00000000,0.50240911,0.51254868,0.53336289,0.53691128,0.18109848,0.23989385,623411.00000000,30.74650000,30.63939322,36.08647856,30.74650000,25.40652144,52.02964109,0.16193130,0.10132562,17.80383494,73.20379109,71.88799909,55.61122972,3.17062052,45.54264092,12.00000000,13.00000000,45695.00000000,pos,178,91.00000000,29.00000000,58.00000000,31.06330000,pos,141,67.00000000,23.00000000,51.00000000,24.66480000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,109.00000000,378.00000000,347.00000000,222000.00000000,1
2021-10-06,0.55281880,0.57223410,0.52570065,0.56887445,0.38210853,0.31386528,704071.00000000,0.68974827,0.74850527,0.68785983,0.76401703,0.09432336,0.23155298,2443126.00000000,0.66101562,0.67383192,0.64202196,0.67659625,0.15688685,0.45988452,1444856.00000000,0.53657468,0.50995240,0.51274662,0.52113910,0.26294249,0.34003700,758834.00000000,30.58100000,30.78707006,35.51084746,30.58100000,25.65115254,53.88466972,0.27023324,0.13510715,17.68354865,74.06312157,73.26733911,53.42835456,3.22843334,44.61951469,49.00000000,27.00000000,71162.00000000,pos,250,113.00000000,41.00000000,96.00000000,40.86870000,pos,131,72.00000000,22.00000000,37.00000000,28.76580000,pos,3.00000000,1.00000000,0.00000000,2.00000000,0.31640000,80.00000000,523.00000000,493.00000000,467000.00000000,1
