Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,Buy_1000x_high,sell_1000x_high
2022-02-13,18.83,19.28,18.38,18.73,4675422.19,88371484.014,126204.0,42217.87,42760.0,41870.0,42053.66,17732.08113,750533311.6529565,624898.0,2918.58,2954.4,2836.7,2871.13,242751.3547,705260941.483037,444540.0,403.6,407.8,394.7,397.9,388657.052,156144929.8226,267677.0,19.653500000000005,20.52203173627693,22.50734144619128,19.653500000000005,16.799658553808733,38.93537744889529,-1.1213805995921715,-1.4588608943102106,34.70148533411682,28.390993959362987,40.618707669778495,-77.17320896489186,306.0,303.0
2022-02-14,18.74,18.95,18.02,18.7,5075585.02,93800750.7152,146572.0,42053.65,42842.4,41550.56,42535.94,34010.1306,1436927831.4445863,867622.0,2871.14,2964.97,2829.01,2929.75,381778.238,1107566192.889658,607853.0,398.0,404.5,390.6,403.4,472210.318,187826631.9452,281617.0,19.673000000000005,20.34850490425055,22.49500708716316,19.673000000000005,16.850992912836855,38.81665907682228,-1.1416006253916535,-1.3954088405264993,34.208753667532505,22.838384029658247,29.79840697748628,-89.03711870635794,272.0,214.0
2022-02-15,18.7,20.34,18.64,20.16,5428840.64,106302711.8098,175305.0,42535.94,44751.4,42427.03,44544.86,38095.19576,1672855933.625659,990694.0,2929.75,3196.19,2912.06,3183.52,448971.754,1381094746.210811,795924.0,403.4,443.0,402.7,432.4,1184143.99,505124380.0128,555199.0,19.777000000000008,20.33055205622669,22.50836669087084,19.777000000000008,17.04563330912918,47.24686363806681,-1.0279655957429092,-1.3219201915697814,32.532017902367706,27.48752843054952,26.23896880652356,-27.2787831686465,231.0,224.0
2022-02-16,20.17,20.19,19.05,19.76,5643848.37,110895415.8691,174940.0,44544.85,44549.97,43307.0,43873.56,28471.8727,1250973502.3018453,823745.0,3183.53,3186.77,3044.03,3122.3,319997.6244,999219896.168787,633447.0,432.4,433.5,422.2,427.3,606252.493,259874383.3159,376834.0,19.859000000000005,20.276213765157483,22.48281325554984,19.859000000000005,17.23518674445017,45.40115295565735,-0.9591294261236064,-1.2493620384805464,30.97504897757182,30.076628352490445,26.80084693756605,-31.881188118811853,399.0,280.0
2022-02-17,19.77,20.01,17.8,18.16,7873044.6,147856052.9931,244846.0,43873.56,44164.71,40073.21,40515.7,47245.99494,1993400162.9480667,1067658.0,3122.31,3160.0,2851.55,2891.87,488693.2624,1467352492.887897,840552.0,427.3,431.1,400.0,402.4,661874.717,275709832.7181,399164.0,19.85000000000001,20.074669597047247,22.49573619244222,19.85000000000001,17.204263807557798,38.86149775678915,-1.021903031964623,-1.2038702371773615,30.30884628927932,27.64141532614441,28.401857369728106,-88.21928680764218,624.0,352.0
2022-02-18,18.17,18.6,17.59,17.82,6205167.39,112325850.2207,180630.0,40515.71,40959.88,39450.0,39974.44,43845.92241,1765622365.952756,1025882.0,2891.88,2943.97,2750.0,2779.48,502977.4069,1428246802.953186,742459.0,402.4,411.0,392.2,399.2,611936.679,245671823.9169,332933.0,19.80400000000001,19.859939159233225,22.55522081992677,19.80400000000001,17.052779180073244,37.62137064885483,-1.0865615205071322,-1.180408493843316,29.811346042244452,15.025788615690113,24.247944098108302,-106.61085848146624,353.0,259.0
2022-02-19,17.82,18.22,17.34,17.84,3507413.77,62338104.6888,105340.0,39974.45,40444.32,39639.03,40079.17,18042.0551,721960636.0646691,586653.0,2779.3,2830.96,2694.45,2763.63,293838.0025,812399991.5545299,474447.0,399.2,406.4,393.0,399.8,410279.304,164154087.3112,253423.0,19.78850000000001,19.66756400121101,22.58001768756694,19.78850000000001,16.996982312433072,37.74721716527365,-1.1232419714107245,-1.1689751893567977,29.497197546894512,6.444395551538416,16.370533164457623,-103.61313743621358,189.0,205.0
2022-02-20,17.85,17.87,16.67,16.91,6518197.69,110985772.1713,165504.0,40079.17,40125.44,38000.0,38386.89,33439.29011,1293216601.4518795,811235.0,2763.63,2764.64,2576.0,2621.99,386384.904,1023095361.857724,615990.0,399.8,400.0,375.0,380.6,624148.525,239051430.9718,344722.0,19.66550000000001,19.40493885823853,22.723960233515974,19.66550000000001,16.60703976648404,34.283603311252776,-1.2133677723020249,-1.1778537059458432,29.59058594426461,5.445044333081145,8.971742833436535,-122.35431113891926,449.0,357.0
2022-02-21,16.91,17.74,16.03,16.18,11178458.24,188216746.6464,273365.0,38386.89,39494.35,36800.0,37008.16,62347.68496,2382027320.8617606,1352290.0,2621.99,2759.51,2558.0,2568.02,761838.9858,2030019705.1472368,1116485.0,380.7,393.7,355.0,356.6,1219652.481,457114758.2113,537899.0,19.49600000000001,19.097801824120577,22.911724813271466,19.49600000000001,16.080275186728553,31.815792466266867,-1.3283852200396282,-1.2079600087646,30.019383380381417,4.774320736379885,5.55458687366646,-133.1017136239438,599.0,460.0
2022-02-22,16.18,16.73,15.8,16.6,8427783.22,136778287.8005,185607.0,37008.16,38429.0,36350.0,38230.33,53785.94589,2010628230.7549176,1212527.0,2568.03,2665.74,2500.0,2636.29,692639.4942,1787436157.608267,1047915.0,356.7,375.4,348.7,374.3,940456.822,340225406.7727,395255.0,19.38800000000001,18.859915936109093,23.01974118020518,19.38800000000001,15.756258819794844,34.726980286612005,-1.3698560384090932,-1.2403392146934986,30.537566111348376,5.917333855440913,5.378899641633958,-137.32452518579674,485.0,401.0
2022-02-23,16.61,17.51,15.91,15.97,10055911.02,168295996.1467,237953.0,38230.33,39249.93,37036.79,37250.01,43560.732,1665486687.2399373,1030872.0,2636.28,2753.55,2575.83,2579.71,504470.1412,1347740672.085344,839481.0,374.3,384.2,365.3,365.6,698692.661,262913145.3207,340110.0,19.24050000000001,18.584685846955846,23.16417926823768,19.24050000000001,15.316820731762345,32.486383361169,-1.4369929355543007,-1.279669958865659,30.16579507697877,5.5386433836238185,5.410099325148182,-114.2688703218068,643.0,601.0
2022-02-24,15.97,16.75,14.05,16.16,22293881.528,336875109.944847,466213.0,37250.02,39843.0,34322.28,38327.21,120476.29458,4335107392.009488,2622780.0,2579.7,2740.0,2300.0,2596.2,1395732.7753,3417715584.1870246,1774038.0,365.6,371.3,323.5,361.2,1949035.935,670530462.9295,727590.0,19.02450000000001,18.353763385341004,23.123189912642623,19.02450000000001,14.925810087357398,33.872114843415005,-1.4580603856190135,-1.31534804421633,30.79444515749682,15.369261477045915,8.941746238703526,-139.35026868588193,1109.0,984.0
2022-02-25,16.17,17.52,15.78,17.25,8246998.11,134910660.0279,211521.0,38328.68,39683.53,38014.37,39219.17,56574.57125,2197889580.2826686,1408558.0,2596.26,2834.97,2571.72,2768.49,679394.1762,1818778014.6036112,1102014.0,361.2,377.2,356.8,375.0,783242.16,286459035.4918,383154.0,18.820500000000013,18.248643062927574,22.845360121792798,18.820500000000013,14.795639878207234,41.31395189024773,-1.370998582842148,-1.3264781519414934,30.630962190291463,28.335380114175468,16.41442832494838,-57.86445676781558,491.0,506.0
2022-02-26,17.26,18.78,17.16,18.03,10979780.48,198667445.3076,309549.0,39219.16,40348.45,38573.18,39116.72,29361.2568,1152621719.69438,924257.0,2768.05,2878.0,2727.5,2779.47,418485.2529,1169315477.8095,781683.0,375.0,386.1,370.5,373.7,548687.941,206711446.3645,304302.0,18.62650000000001,18.22781991407733,22.40339435912605,18.62650000000001,14.84960564087397,45.997372884029616,-1.2249416310045191,-1.3061708477540983,29.40410209438008,48.57875663617123,30.761132742464184,16.172976743172086,607.0,459.0
2022-02-27,18.03,18.72,17.07,17.5,9879341.39,176867091.9967,262992.0,39116.73,39855.7,37000.0,37699.07,46229.44719,1780512702.886402,1265753.0,2779.47,2836.33,2557.98,2616.79,650198.7785,1757950720.803781,1149184.0,373.7,381.2,358.1,360.1,677364.949,249999154.4557,354177.0,18.384000000000007,18.15850373178425,21.77672987430457,18.384000000000007,14.991270125695443,43.45944951727264,-1.138829299724275,-1.2727025381481338,28.320071418457275,56.33280339162693,44.41564671399119,6.79059620784862,517.0,515.0
2022-02-28,17.5,19.11,16.62,18.94,14924830.91,262571854.0123,326935.0,37699.08,44225.84,37450.17,43160.0,73945.63858,2975160226.168985,1931087.0,2616.79,2951.6,2568.62,2920.95,733794.4488,2004492152.838274,1203874.0,360.1,397.2,355.8,395.6,773064.48,289850493.0347,417256.0,18.248000000000008,18.2329319478048,21.30610791176484,18.248000000000008,15.189892088235176,51.31866601951085,-0.9435124669579942,-1.206864523910106,27.59451763313604,65.28881822999472,56.73345941926427,40.650406504064975,823.0,1161.0
2022-03-01,18.94,19.56,18.32,18.89,11677345.78,220601939.1717,320889.0,43160.0,44949.0,42809.98,44421.2,61743.09873,2701611023.69432,1866871.0,2920.83,3037.94,2854.09,2976.33,673901.6976,1983738648.0916271,1237486.0,395.7,424.9,390.4,408.7,1403695.832,570619625.5918,680260.0,18.09550000000001,18.295509857537677,20.66751458005172,18.09550000000001,15.5234854199483,51.0533061241209,-0.7837227835432969,-1.122236175836744,26.52345827656958,70.47292550262469,64.0315157080821,98.3348312362692,679.0,602.0
2022-03-02,18.9,19.26,18.35,18.61,8422865.21,158046725.7166,236252.0,44421.2,45400.0,43334.09,43892.98,57782.65081,2550792948.288624,1653131.0,2976.33,3043.91,2914.21,2947.3,614623.7461,1828572588.461256,1050193.0,408.7,415.7,403.8,409.3,788499.443,323372980.944,430117.0,18.00050000000001,18.32546129967694,20.33847754480199,18.00050000000001,15.66252245519803,49.50940202643885,-0.6719363047022284,-1.032176201609841,25.528903159757878,77.69329233609851,71.15167868957262,95.71550300900024,471.0,419.0
