Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2022-01-05,45832.01000000,47070.00000000,42500.00000000,43451.13000000,51784.11857000,2334288544.64544840,1478532,3785.10000000,3848.00000000,3415.00000000,3540.63000000,397942.03630000,1464819255.09351100,962670,506.90000000,516.00000000,457.00000000,474.10000000,985152.00400000,487039058.78700000,629399
2022-01-06,43451.14000000,43816.00000000,42430.58000000,43082.31000000,38880.37305000,1674466154.43833260,1150707,3539.82000000,3550.43000000,3300.00000000,3406.81000000,496745.74130000,1698727637.36502600,1006279,474.20000000,481.30000000,458.80000000,472.60000000,986669.90000000,462959866.66690000,543241
2022-01-07,43082.30000000,43145.83000000,40610.00000000,41566.48000000,54836.50818000,2293851015.46523690,1406635,3406.81000000,3416.76000000,3064.42000000,3199.24000000,669631.72620000,2149562773.32925700,1307591,472.60000000,473.90000000,437.50000000,448.10000000,1331260.03000000,600028684.19460000,615848
2022-01-08,41566.48000000,42300.00000000,40501.00000000,41679.74000000,32952.73111000,1367233494.82776660,1021908,3198.68000000,3250.00000000,3000.00000000,3080.95000000,400692.10610000,1252795163.48626900,814600,448.10000000,459.70000000,415.00000000,429.90000000,1062788.58900000,464082732.81090000,512468
2022-01-09,41679.74000000,42786.70000000,41200.02000000,41864.62000000,22724.39426000,952830064.51258490,752733,3080.98000000,3211.72000000,3057.35000000,3151.97000000,275874.16430000,864505480.88173800,591523,429.80000000,444.50000000,427.00000000,438.70000000,688777.34700000,299514285.42510000,367892
2022-01-10,41864.62000000,42248.50000000,39650.00000000,41822.49000000,50729.17019000,2088111339.50559650,1250983,3151.97000000,3185.00000000,2928.83000000,3082.68000000,529818.38660000,1616550523.09720100,935157,438.80000000,445.50000000,405.60000000,424.70000000,1221504.73800000,518143646.50800000,550883
2022-01-11,41822.49000000,43100.00000000,41268.93000000,42729.29000000,37296.43729000,1574803608.96007870,1015526,3082.87000000,3263.54000000,3051.80000000,3239.72000000,362446.70870000,1145852583.62298000,668961,424.80000000,467.70000000,421.30000000,463.60000000,1266092.81900000,571335667.79270000,670993
2022-01-12,42729.29000000,44322.00000000,42450.00000000,43902.66000000,33943.29280000,1470906437.71207140,1023902,3239.73000000,3411.43000000,3206.20000000,3371.26000000,370465.80150000,1226038697.47290200,737196,463.60000000,489.90000000,456.60000000,487.80000000,836124.92800000,395395226.98670000,542753
2022-01-13,43902.65000000,44500.00000000,42311.22000000,42560.11000000,34910.87762000,1515944525.49549480,1036234,3371.60000000,3410.00000000,3233.43000000,3240.61000000,336234.87990000,1116293607.68792400,666486,487.80000000,489.80000000,466.50000000,475.20000000,908052.93700000,434855256.53010000,574157
2022-01-14,42558.35000000,43448.78000000,41725.95000000,43059.96000000,32640.88292000,1392000443.35016740,946938,3240.61000000,3342.79000000,3188.00000000,3307.42000000,285326.35050000,931347172.76288100,572125,475.10000000,492.30000000,467.60000000,490.00000000,797022.18100000,383070562.15030000,532865
2022-01-15,43059.96000000,43800.00000000,42555.00000000,43084.29000000,21936.05616000,946488263.54844810,752688,3307.42000000,3371.64000000,3261.00000000,3326.04000000,203100.37780000,675484534.65694900,444485,489.90000000,500.90000000,485.00000000,494.50000000,548626.20300000,270831128.95430000,408859
2022-01-16,43084.29000000,43475.00000000,42581.79000000,43071.66000000,20602.35271000,887203134.05314680,732171,3326.51000000,3393.60000000,3269.62000000,3346.88000000,210782.22770000,701885138.83374000,495317,494.50000000,506.00000000,488.60000000,498.60000000,507042.33200000,251862226.22360000,389752
2022-01-17,43071.66000000,43176.18000000,41540.42000000,42201.62000000,27562.08613000,1169381684.46684350,918029,3346.89000000,3357.57000000,3141.10000000,3209.67000000,284063.65480000,922568646.92376300,646419,498.60000000,499.10000000,466.90000000,475.20000000,757806.03500000,363254557.74590000,517026
