Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2022-01-05,,,,,,,,,,,,,,
2022-01-06,,,,,,,,,,,,,,
2022-01-07,,,,,,,,,,,,,,
2022-01-08,,,,,,,,,,,,,,
2022-01-09,,,,,,,,,,,,,,
2022-01-10,,,,,,,,,,,,,,
2022-01-11,,,,,,,,,,,,,,
2022-01-12,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,,,,,,
2022-01-15,,,,,,,,,,,,,,
2022-01-16,,,,,,,,,,,,,,
2022-01-17,,,,,,,,,,,,,,
2022-01-18,,,,,,,,,,,,-49.36739512,,
2022-01-19,,,,,,41.25736739,,,,,,-83.24986088,2.08642857,38.81887559
2022-01-20,,,,,,38.43807200,,,,,,-97.46952835,2.13596939,40.69325929
2022-01-21,,,,,,31.09021623,,,,,,-203.44135448,2.30054300,40.76246413
2022-01-22,,,,,,28.62052388,,,,11.11887523,16.33955200,-229.19302959,2.42121850,38.44940020
2022-01-23,,,,,,30.90057180,,,,15.07246377,13.51985155,-160.66642214,2.35327432,38.99685890
2022-01-24,24.25350000,24.25350000,30.44396129,24.25350000,18.06303871,29.41999406,,,,18.62084491,14.93739463,-143.08153464,2.39875473,38.05098944
2022-01-25,23.83300000,23.68745238,30.42563559,23.83300000,17.24036441,30.73205081,,,,19.46987239,17.72106036,-101.52535704,2.34812939,36.99309029
2022-01-26,23.40100000,23.15340930,30.30525927,23.40100000,16.49674073,30.25172536,,,,18.24894515,18.77988748,-79.48337961,2.36254872,38.23762504
2022-01-27,23.06200000,22.67403698,30.29646639,23.06200000,15.82753361,30.45530059,,,,18.51265823,18.74382525,-78.14580807,2.28522381,38.65901581
2022-01-28,22.77950000,22.26127156,30.28319902,22.77950000,15.27580098,31.63714157,,,,18.59177215,18.45112518,-65.99344428,2.20270783,36.28877720
2022-01-29,22.48500000,21.92591236,30.13596203,22.48500000,14.83403797,33.83865497,,,,20.33227848,19.14556962,-49.07425122,2.11537155,34.99680137
2022-01-30,22.20650000,21.56630166,30.06018519,22.20650000,14.35281481,32.19191641,,,,20.77550656,19.89985240,-49.57034398,2.04998787,29.64048568
2022-01-31,21.89700000,21.35713007,29.68527092,21.89700000,14.10872908,38.82172916,,,,25.67974575,22.26251026,-33.34605638,2.08141731,35.54651758
2022-02-01,21.50950000,21.18692721,28.94305494,21.50950000,14.07594506,39.85982941,,,56.54580562,30.73977751,25.73167661,8.58728163,1.99345893,41.22384591
2022-02-02,21.15800000,20.95579128,28.41134020,21.15800000,13.90465980,37.11314028,,,56.17159638,34.23368605,30.21773644,17.70073385,1.99749758,41.05664453
2022-02-03,20.71650000,20.76190640,27.36045146,20.71650000,14.07254854,38.02165856,,,56.00789733,36.17430084,33.71592147,-2.70350564,1.92553346,41.53169506
2022-02-04,20.36050000,20.73505817,26.20599562,20.36050000,14.51500438,46.18497459,,,54.34362994,56.07179739,42.15992809,191.34912461,1.91799536,50.90777281
2022-02-05,20.04200000,20.79171930,24.85639342,20.04200000,15.22760658,50.04577949,,,51.44801895,74.47540420,55.57383414,240.01694529,1.92313855,63.33448603
2022-02-06,19.85300000,20.89822222,24.01874171,19.85300000,15.68725829,52.54743635,,,48.75923732,92.38390093,74.31036751,179.98546512,1.86791437,61.62728395
2022-02-07,19.71300000,21.03648677,23.30609950,19.71300000,16.11990050,54.41257029,-1.40915827,-2.55931801,45.71460037,90.99485484,85.95138665,168.53083280,1.82806334,75.29308097
2022-02-08,19.59350000,21.09586898,22.73188987,19.59350000,16.45511013,51.02554021,-1.20382533,-2.28821948,42.55271646,87.54643827,90.30839801,124.81673135,1.84963024,65.59086071
2022-02-09,19.54000000,21.17626241,22.47338712,19.54000000,16.60661288,52.32250116,-1.00689695,-2.03195497,39.62350571,82.64286234,87.06138515,92.73622958,1.80251380,57.72812138
2022-02-10,19.58200000,21.11280885,22.54552898,19.58200000,16.61847102,45.67045473,-0.95520781,-1.81660554,37.29197329,70.01647446,80.06859169,53.86784851,1.81590567,56.56960632
2022-02-11,19.61750000,20.90968420,22.53394904,19.61750000,16.70105096,39.83503552,-1.02587633,-1.65845970,36.24761249,55.29928611,69.31954097,-38.73438563,1.83976955,49.23763843
2022-02-12,19.61800000,20.71066666,22.53389849,19.61800000,16.70210151,39.26995497,-1.08231605,-1.54323097,35.44591693,38.16584294,54.49386784,-71.77248821,1.79192887,44.51784727
2022-02-13,19.65350000,20.52203174,22.50734145,19.65350000,16.79965855,38.93537745,-1.12138060,-1.45886089,34.70148533,28.39099396,40.61870767,-77.17320896,1.72821966,44.61805424
