Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2021-08-19,44699.37000000,47033.00000000,43927.70000000,46760.62000000,53411.75392000,2416320067.13376884,1774382,3014.18000000,3188.00000000,2958.33000000,3184.12000000,634769.92174000,1931520693.61039600,1297759,396.23000000,431.70000000,390.89000000,431.27000000,1852873.47140000,760855598.33672400,1106798
2021-08-20,46760.62000000,49382.99000000,46622.99000000,49322.47000000,56850.35222800,2721131744.27781711,1950404,3184.11000000,3300.00000000,3177.16000000,3284.82000000,558127.45540000,1809283029.21790640,1137843,431.21000000,458.00000000,421.84000000,454.93000000,1691101.51020000,741836933.51022500,1306013
2021-08-21,49322.47000000,49757.04000000,48222.00000000,48821.87000000,46745.13658400,2290966131.37616106,2069725,3284.81000000,3309.16000000,3207.00000000,3223.43000000,421156.09084000,1375973641.16316310,777622,454.92000000,460.00000000,443.47000000,448.74000000,1426818.89780000,646029835.59467600,854002
2021-08-22,48821.88000000,49500.00000000,48050.00000000,49239.22000000,37007.88779500,1807169840.16917142,1610192,3223.36000000,3272.00000000,3126.42000000,3238.00000000,406479.07654000,1304347038.57135730,803263,448.74000000,458.34000000,437.77000000,448.68000000,1135535.80760000,509610173.14765300,694269
2021-08-23,49239.22000000,50500.00000000,49029.00000000,49488.85000000,52462.54195400,2616721363.68517193,2143309,3238.00000000,3377.89000000,3230.02000000,3321.28000000,602103.44614000,2000534992.14834860,1520784,448.69000000,509.71000000,445.89000000,499.06000000,2660809.02190000,1298353030.85216900,1811364
2021-08-24,49488.85000000,49860.00000000,47600.00000000,47674.01000000,51014.59474800,2486079315.56442367,1692896,3321.28000000,3357.85000000,3147.31000000,3170.62000000,540480.07853000,1758604481.59984730,984324,499.06000000,504.20000000,461.12000000,471.62000000,2080297.69790000,1005799339.79143800,1544248
2021-08-25,47674.01000000,49264.30000000,47126.28000000,48973.32000000,44655.83034200,2149442271.52642047,1559186,3170.63000000,3248.00000000,3080.00000000,3226.87000000,483697.69444000,1534476278.25319960,1031704,471.62000000,507.00000000,470.00000000,503.19000000,2242911.03330000,1097153964.71357000,1509519
2021-08-26,48973.32000000,49352.84000000,46250.00000000,46843.87000000,49371.27777400,2333900030.22962785,1532753,3226.88000000,3250.00000000,3053.30000000,3093.20000000,442298.47372000,1382397989.45047040,959232,503.17000000,518.94000000,471.20000000,478.10000000,2229652.23100000,1091106242.80202900,1317370
2021-08-27,46843.86000000,49149.93000000,46348.00000000,49069.90000000,42068.10496500,2007071230.21999509,1320503,3093.06000000,3280.00000000,3060.18000000,3273.45000000,451027.80711000,1434311977.24525590,802187,478.20000000,495.00000000,467.10000000,494.50000000,1549790.92460000,747871449.79628700,967190
2021-08-28,49069.90000000,49299.00000000,48346.88000000,48895.35000000,26681.06378600,1303966035.77054955,793012,3273.89000000,3287.00000000,3210.31000000,3244.48000000,262360.34921000,850631439.05327950,539377,494.60000000,497.00000000,482.30000000,486.20000000,891854.58380000,434757166.85392100,647241
2021-08-29,48895.35000000,49632.27000000,47762.54000000,48767.83000000,32652.28347300,1588661416.36037966,1193046,3244.75000000,3285.00000000,3152.34000000,3223.47000000,335806.78270000,1078681950.90208700,661232,486.10000000,495.50000000,475.00000000,479.70000000,910773.93900000,441423115.55930000,535858
2021-08-30,48767.84000000,48888.61000000,46853.00000000,46982.91000000,40288.35083000,1932344430.92392620,1204012,3223.47000000,3347.95000000,3143.00000000,3229.64000000,625347.27541000,2027490192.49738710,1228525,479.70000000,480.90000000,457.00000000,460.30000000,1125497.96120000,532177068.40775700,645920
2021-08-31,46982.91000000,48246.11000000,46700.00000000,47100.89000000,48645.52737000,2303799571.38227270,1300400,3229.14000000,3476.00000000,3188.77000000,3429.20000000,863071.13092000,2895209449.70776520,1772849,460.20000000,477.80000000,448.20000000,463.90000000,1477345.55520000,687097552.05356100,753856
2021-09-01,47100.89000000,49156.00000000,46512.00000000,48810.52000000,49904.65528000,2386074445.41585230,1280384,3429.19000000,3842.00000000,3382.22000000,3826.82000000,845759.95868000,3038498667.85423990,2022132,463.90000000,490.00000000,455.10000000,489.40000000,1320635.94000000,627928762.56250000,702925
2021-09-02,48810.51000000,50450.13000000,48584.06000000,49246.64000000,54410.77053800,2704192314.67468902,1549849,3826.82000000,3836.80000000,3717.04000000,3785.82000000,525165.79960000,1981758437.08575600,1402190,489.50000000,504.70000000,478.00000000,483.70000000,1245680.69880000,611758853.50143600,787674
2021-09-03,49246.63000000,51000.00000000,48316.84000000,49999.14000000,59025.64415700,2949574478.07173762,1645163,3785.82000000,4027.88000000,3705.05000000,3938.11000000,655903.75739000,2557662974.33001620,1678132,483.60000000,495.00000000,473.00000000,488.50000000,1094104.74200000,533570500.43330000,652207
