Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2021-08-19,,,,,,,,,,,,,,
2021-08-20,,,,,,,,,,,,,,
2021-08-21,,,,,,,,,,,,,,
2021-08-22,,,,,,,,,,,,,,
2021-08-23,,,,,,,,,,,,,,
2021-08-24,,,,,,,,,,,,,,
2021-08-25,,,,,,,,,,,,,,
2021-08-26,,,,,,,,,,,,,,
2021-08-27,,,,,,,,,,,,,,
2021-08-28,,,,,,,,,,,,,,
2021-08-29,,,,,,,,,,,,,,
2021-08-30,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,,
2021-09-01,,,,,,,,,,,,219.71391421,,
2021-09-02,,,,,,62.81496063,,,,,,166.94090473,2.72750000,67.94755000
2021-09-03,,,,,,66.02047876,,,,,,144.11427253,2.78196429,67.79428117
2021-09-04,,,,,,62.22352634,,,,,,117.26665145,2.73539541,66.82594605
2021-09-05,,,,,,65.87280685,,,,92.18275454,89.60375106,110.95939827,2.74072431,72.53699465
2021-09-06,,,,,,65.63618192,,,,91.39544159,90.08280014,95.59736968,2.74495829,72.87186749
2021-09-07,28.81875000,28.81875000,35.42052748,28.81875000,22.21697252,48.52653840,,,,77.05607893,86.87809169,-10.08198047,3.47888984,64.72418915
2021-09-08,28.87765000,28.71791667,35.41929882,28.87765000,22.33600118,48.08224923,,,,57.83871627,75.43007893,-45.26320680,3.49325485,61.97521467
2021-09-09,28.96120000,28.82287698,35.50617253,28.96120000,22.41622747,52.66091442,,,,44.98207885,59.95895802,-3.81052464,3.59230807,67.68568499
2021-09-10,29.02755000,28.85784108,35.55352252,29.02755000,22.50157748,51.17451753,,,,48.10547875,50.30875796,-2.36191065,3.66785750,69.75422912
2021-09-11,29.22180000,29.11614193,35.80736812,29.22180000,22.63623188,56.20377802,,,,57.85970302,50.31575354,8.31976694,3.68086768,70.81545553
2021-09-12,29.61745000,29.75174746,36.75958586,29.61745000,22.47531414,63.40213686,,,,71.26690423,59.07736200,103.80727613,3.83151998,75.21045457
2021-09-13,30.10610000,30.23634294,37.27329443,30.10610000,22.93890557,60.97257900,,,,80.89556251,70.00738992,108.62469895,4.02712570,78.41387809
2021-09-14,30.67500000,30.91478647,38.23782090,30.67500000,23.11217910,64.82328411,,,,88.50039336,80.22095337,150.40069309,4.07447386,77.69878493
2021-09-15,31.30250000,31.44385443,38.59713056,31.30250000,24.00786944,62.47864420,,,24.64443669,85.33680342,84.91091976,121.82637183,3.95915430,72.17179154
2021-09-16,31.75100000,31.83015400,38.91866880,31.75100000,24.58333120,59.93423755,,,24.12874130,85.55762466,86.46494048,76.72599709,3.88850042,71.76757994
2021-09-17,32.10450000,31.94442505,38.77500665,32.10450000,25.43399335,53.91334217,,,22.89830154,76.59838610,82.49760473,34.02370858,3.95003611,66.87805187
2021-09-18,32.56300000,32.22305124,38.64418771,32.56300000,26.48181229,57.35054481,,,21.75575034,73.28781295,78.48127457,39.63928607,3.91003353,67.18126788
2021-09-19,32.95400000,32.37799874,38.26103081,32.95400000,27.64696919,54.90589892,,,20.69480993,69.87378440,73.25332782,26.18675285,3.76574542,64.27065839
2021-09-20,32.80200000,31.99057029,38.44743568,32.80200000,27.15656432,43.94831272,,,20.90307062,60.10759363,67.75639699,-70.88907133,4.02247789,57.50114816
2021-09-21,32.46250000,31.45718264,38.75567686,32.46250000,26.16932314,40.90172517,1.03412398,2.33025982,21.35609525,37.76689704,55.91609169,-115.38151677,4.08372947,60.43883161
2021-09-22,32.45300000,31.47078429,38.75078088,32.45300000,26.15521912,50.85701994,0.93043793,2.05029544,21.11080919,29.93635935,42.60361667,-69.53522513,4.22703451,66.76821856
2021-09-23,32.44500000,31.65547150,38.73748917,32.44500000,26.15251083,53.77057574,0.98298661,1.83683367,20.27407632,38.11527749,35.27284463,-11.24783046,4.15581776,66.10697972
2021-09-24,32.36450000,31.57304565,38.69829026,32.36450000,26.03070974,49.22149110,0.80395225,1.63025739,20.19151263,48.48028134,38.84397272,-60.46415639,4.26183077,56.98062252
2021-09-25,32.13450000,31.40608892,38.48707263,32.13450000,25.78192737,47.61535808,0.57714240,1.41963439,20.11484634,44.00904295,43.53486726,-66.97180076,4.15812858,52.35452183
