Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Sentimiento,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Sentimiento_coin,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Sentimiento_referentes,Tweets_Utilizados_referentes,Cantidad_pos_referentes,Cantidad_neg_referentes,Cantidad_neu_referentes,Compound total referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance
2024-02-11,7.20000000,7.34200000,7.07700000,7.09900000,4140070.61000000,29876047.34122000,74020,47751.08000000,48592.66000000,47557.16000000,48299.99000000,29958.80837000,1443314885.77140522,1407270,2500.24000000,2539.63000000,2493.45000000,2507.21000000,219975.14710000,553430378.32506895,711081,323.00000000,324.90000000,320.10000000,320.70000000,280308.10500000,90370119.20850000,137326,6.81090000,6.96752631,7.27275578,6.81090000,6.34904422,52.70098083,-0.05273876,-0.15496782,21.76752902,79.09430096,76.61262921,125.06265664,0.34596504,64.71674871,,,,pos,127,70.00000000,20.00000000,37.00000000,30.27380000,pos,162,96.00000000,25.00000000,41.00000000,50.60880000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,12,357.00000000,277.00000000,41000.00000000
2024-02-12,7.09900000,7.37700000,6.97800000,7.34000000,6638724.11000000,47756264.59443000,119442,48300.00000000,50334.82000000,47710.01000000,49917.27000000,59009.96705000,2898220863.01818037,1939394,2507.22000000,2665.58000000,2472.00000000,2659.99000000,449501.77600000,1152087242.12635803,1019390,320.60000000,332.20000000,315.60000000,327.80000000,576734.16200000,186477781.44499999,222424,6.85985000,7.00300000,7.32807400,6.85985000,6.39162600,57.82277295,-0.01882241,-0.12773874,21.02049623,83.18678374,80.40400482,127.89605197,0.34975326,63.18278136,59.00000000,34.00000000,29288.00000000,pos,304,137.00000000,43.00000000,124.00000000,55.34790000,pos,160,84.00000000,26.00000000,50.00000000,40.86640000,neu,1,0.00000000,0.00000000,1.00000000,0.00000000,37,468.00000000,488.00000000,66000.00000000
2024-02-13,7.34000000,7.45000000,7.11100000,7.35300000,5806068.65000000,42408110.27971000,106417,49917.28000000,50368.61000000,48300.95000000,49699.59000000,55551.56706000,2745025370.06744719,1741811,2659.99000000,2686.12000000,2590.00000000,2639.99000000,502447.74500000,1328138932.92916870,1044885,327.90000000,329.20000000,318.60000000,324.70000000,441545.83000000,143321078.21640000,203711,6.90440000,7.03633333,7.38218380,6.90440000,6.42661620,58.08642763,0.00900176,-0.10039064,20.58382473,85.05401815,82.44503429,123.46021343,0.34898517,72.84039635,14.00000000,19.00000000,27788.00000000,pos,165,88.00000000,29.00000000,48.00000000,38.05500000,pos,134,72.00000000,28.00000000,34.00000000,29.33140000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,54,394.00000000,365.00000000,64000.00000000
2024-02-14,7.35400000,7.71000000,7.27300000,7.64900000,6998063.16000000,53082392.52019000,130998,49699.60000000,52043.71000000,49225.01000000,51795.17000000,57046.37401000,2919604456.72331285,1859392,2639.99000000,2786.00000000,2618.40000000,2774.81000000,461670.69440000,1258639954.54766512,1090412,324.60000000,334.60000000,323.40000000,333.90000000,452466.98000000,149740983.61179999,200782,6.96495000,7.09468254,7.49503696,6.96495000,6.43486304,63.65712741,0.05431127,-0.06945026,20.99676461,93.30622377,87.18234189,163.57016770,0.35527194,81.99150003,93.00000000,62.00000000,37836.00000000,pos,298,133.00000000,56.00000000,109.00000000,45.67160000,pos,165,81.00000000,25.00000000,59.00000000,36.06150000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,58,439.00000000,491.00000000,80000.00000000
2024-02-15,7.64800000,7.95000000,7.52600000,7.78100000,8076847.34000000,62737389.42161000,162113,51795.17000000,52816.62000000,51314.00000000,51880.00000000,53816.03055000,2802825737.99201536,1786569,2774.80000000,2867.65000000,2759.25000000,2822.59000000,481689.18740000,1353587492.51477504,1347619,333.90000000,366.60000000,333.30000000,354.20000000,1361590.40300000,478646206.09050000,448821,7.02040000,7.16004611,7.64065556,7.02040000,6.40014444,65.83769308,0.09972116,-0.03561597,22.00112460,90.61408616,89.65810936,179.14698036,0.36018109,83.38774131,50.00000000,57.00000000,39936.00000000,pos,213,115.00000000,40.00000000,58.00000000,48.56580000,pos,161,102.00000000,17.00000000,42.00000000,50.74840000,pos,1,1.00000000,0.00000000,0.00000000,0.94930000,15,440.00000000,500.00000000,96000.00000000
2024-02-16,7.78100000,7.86800000,7.53700000,7.64700000,5128123.74000000,39582350.55408000,113076,51880.01000000,52572.08000000,51566.00000000,52124.11000000,37772.25318000,1965003863.97133446,1583711,2822.58000000,2857.40000000,2740.00000000,2801.80000000,378070.80370000,1062271564.48785996,1123447,354.30000000,366.80000000,349.10000000,360.40000000,1061855.98600000,380862085.14399999,360598,7.06930000,7.20642267,7.72426659,7.06930000,6.41433341,61.78495792,0.12347283,-0.00379821,22.93374459,86.69117096,90.20382696,133.86188525,0.35809672,75.78899752,14.00000000,23.00000000,26517.00000000,pos,165,81.00000000,29.00000000,55.00000000,26.08350000,pos,145,79.00000000,26.00000000,40.00000000,37.39690000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,10,330.00000000,284.00000000,68000.00000000
2024-02-17,7.64700000,7.70900000,7.34000000,7.70400000,3946834.47000000,29794182.84349000,95232,52124.10000000,52162.82000000,50625.00000000,51642.64000000,25674.00622000,1319908544.97908926,1427773,2801.81000000,2804.21000000,2719.01000000,2785.93000000,243302.87590000,673711593.25171292,969157,360.40000000,363.70000000,348.20000000,352.90000000,630266.52000000,224091913.18480000,244807,7.11090000,7.25381098,7.81435033,7.11090000,6.40744967,62.83301678,0.14522160,0.02600575,22.82512282,82.37604320,86.56043344,94.04003901,0.35887553,73.60138982,16.00000000,19.00000000,21545.00000000,pos,108,53.00000000,9.00000000,46.00000000,22.62440000,pos,151,85.00000000,24.00000000,42.00000000,46.14530000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,3,248.00000000,206.00000000,59000.00000000
2024-02-18,7.70400000,7.92000000,7.67600000,7.86000000,4114553.53000000,32032555.09121000,100426,51642.64000000,52377.00000000,51163.28000000,52137.67000000,21992.10363000,1139209588.43346262,1375422,2785.92000000,2895.00000000,2764.25000000,2881.20000000,367987.88330000,1037802342.59328675,1311570,352.90000000,358.10000000,349.10000000,349.80000000,495667.63400000,174916562.04110000,224130,7.15230000,7.31154327,7.92623258,7.15230000,6.37836742,65.61263206,0.17305073,0.05541475,23.31012580,84.31516937,84.46079451,124.21356622,0.35067013,76.95491450,34.00000000,55.00000000,25244.00000000,pos,129,65.00000000,21.00000000,43.00000000,25.17270000,pos,144,88.00000000,24.00000000,32.00000000,49.58790000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,14,252.00000000,262.00000000,59000.00000000
2024-02-19,7.86000000,8.14800000,7.65100000,8.02900000,8186553.00000000,64174923.12627000,163951,52137.68000000,52488.77000000,51677.00000000,51774.73000000,29534.99432000,1539600521.60077286,1542990,2881.20000000,2984.52000000,2856.93000000,2944.80000000,446451.04010000,1302430726.12966108,1539410,349.80000000,356.20000000,349.30000000,351.60000000,830917.53400000,292956743.15039998,345997,7.21195000,7.37987248,8.05956465,7.21195000,6.36433535,68.37221205,0.20636357,0.08560451,24.30496636,89.12390491,85.27170583,125.12386847,0.36112227,78.49334484,20.00000000,23.00000000,34848.00000000,pos,174,80.00000000,34.00000000,60.00000000,28.93750000,pos,145,80.00000000,23.00000000,42.00000000,37.07820000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,24,595.00000000,555.00000000,95000.00000000
2024-02-20,8.02900000,8.11700000,7.39900000,7.73100000,9552318.01000000,73945120.33370000,178000,51774.74000000,52985.00000000,50760.37000000,52258.82000000,49614.47318000,2574874999.37871742,1971912,2944.80000000,3033.09000000,2874.56000000,3014.81000000,634681.74710000,1868745481.64754891,1517960,351.70000000,361.60000000,344.80000000,354.60000000,972650.55800000,344718252.38940001,339802,7.26580000,7.41331320,8.10154652,7.26580000,6.43005348,59.33075959,0.20633958,0.10975152,24.10938890,85.75122834,86.39676754,72.04567891,0.38661353,71.85987260,13.00000000,49.00000000,39366.00000000,pos,149,74.00000000,25.00000000,50.00000000,22.68980000,pos,152,82.00000000,26.00000000,44.00000000,34.83630000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,44,605.00000000,507.00000000,102000.00000000
