Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades
2024-02-10,7.19700000,7.29000000,7.05900000,7.20000000,3362657.29000000,24151408.61195000,58901
2024-02-11,7.20000000,7.34200000,7.07700000,7.09900000,4140070.61000000,29876047.34122000,74020
2024-02-12,7.09900000,7.37700000,6.97800000,7.34000000,6638724.11000000,47756264.59443000,119442
2024-02-13,7.34000000,7.45000000,7.11100000,7.35300000,5806068.65000000,42408110.27971000,106417
2024-02-14,7.35400000,7.71000000,7.27300000,7.64900000,6998063.16000000,53082392.52019000,130998
2024-02-15,7.64800000,7.95000000,7.52600000,7.78100000,8076847.34000000,62737389.42161000,162113
2024-02-16,7.78100000,7.86800000,7.53700000,7.64700000,5128123.74000000,39582350.55408000,113076
2024-02-17,7.64700000,7.70900000,7.34000000,7.70400000,3946834.47000000,29794182.84349000,95232
2024-02-18,7.70400000,7.92000000,7.67600000,7.86000000,4114553.53000000,32032555.09121000,100426
2024-02-19,7.86000000,8.14800000,7.65100000,8.02900000,8186553.00000000,64174923.12627000,163951
2024-02-20,8.02900000,8.11700000,7.39900000,7.73100000,9552318.01000000,73945120.33370000,178000
2024-02-21,7.73100000,7.73200000,7.22500000,7.46600000,6514766.28000000,48234966.35234000,127063
2024-02-22,7.46600000,7.68700000,7.27400000,7.48000000,5384307.43000000,40458873.89838000,100818
2024-02-23,7.48100000,7.64600000,7.26900000,7.56300000,6638489.31000000,49322330.61584000,123876
2024-02-24,7.56400000,7.89100000,7.43100000,7.81900000,6116096.37000000,47385015.29813000,119482
2024-02-25,7.81900000,7.95000000,7.67700000,7.92300000,4176758.99000000,32553618.64877000,83926
2024-02-26,7.92400000,8.11700000,7.58300000,8.10900000,7572230.28000000,59674731.86138000,144072
2024-02-27,8.10900000,8.44900000,7.98700000,8.37100000,10449184.54000000,85260782.62986000,183372
2024-02-28,8.37100000,8.71500000,7.71300000,8.34200000,15023729.48000000,125068060.40644000,342565
2024-02-29,8.34200000,8.89900000,8.02900000,8.26100000,11567082.87000000,99243232.96434000,263151
2024-03-01,8.26300000,8.67300000,8.26300000,8.66100000,7440771.13000000,62653156.22702000,158857
2024-03-02,8.66100000,9.46700000,8.57600000,9.46300000,12812343.11000000,115696178.27531000,294596
2024-03-03,9.46300000,9.90000000,8.57600000,9.78100000,15549955.02000000,146134358.56841000,364720
2024-03-04,9.78100000,10.31000000,9.50000000,9.86200000,20642389.86000000,204917314.03846000,494931
2024-03-05,9.86200000,10.76200000,8.17000000,9.32000000,31707926.36000000,312847055.90206000,840745
2024-03-06,9.32000000,10.56000000,8.92400000,10.54400000,17135241.23000000,169931312.14862000,426365
2024-03-07,10.54400000,11.00000000,10.20900000,10.40200000,11994126.73000000,126076734.71795000,306333
2024-03-08,10.40400000,10.70000000,9.94600000,10.63700000,12982892.21000000,134810803.31724000,314264
2024-03-09,10.63700000,10.95000000,10.40900000,10.49300000,9384527.61000000,100167135.91859000,226543
2024-03-10,10.49400000,10.57400000,9.96300000,10.26100000,7587844.77000000,78414400.74477000,192434
2024-03-11,10.26200000,11.24900000,9.79100000,11.04300000,14996657.84000000,161100181.82388000,373463
2024-03-12,11.04300000,11.15000000,10.02000000,10.73600000,12039946.94000000,128250928.43394000,311774
2024-03-13,10.73600000,11.46000000,10.63800000,11.37400000,11969881.19000000,131486966.49787000,276468
2024-03-14,11.37400000,11.88900000,10.67500000,11.55800000,20155350.19000000,229071925.84591000,536988
2024-03-15,11.55700000,11.70600000,9.97500000,10.81000000,20216540.26000000,215857142.24061000,557152
2024-03-16,10.81100000,10.89900000,9.50200000,9.68200000,13825011.98000000,141260282.07715000,330505
2024-03-17,9.68400000,10.25200000,9.19000000,10.08300000,9420189.81000000,92578800.73045000,229683
2024-03-18,10.08300000,10.45600000,9.60200000,9.90200000,9838197.40000000,98681512.72010000,245319
2024-03-19,9.90100000,9.99400000,8.60000000,8.76600000,15363075.80000000,140223015.47043000,341363
2024-03-20,8.76600000,9.56700000,8.48800000,9.48300000,12729562.23000000,115192954.03982000,267797
2024-03-21,9.48300000,9.58300000,9.06700000,9.17900000,7536093.12000000,70326185.56471000,156774
2024-03-22,9.17900000,9.36700000,8.69400000,8.93600000,6104700.92000000,55019173.18080000,147578
2024-03-23,8.93900000,9.22400000,8.85200000,8.96800000,3464506.12000000,31440053.88562000,82610
2024-03-24,8.96700000,9.43000000,8.95200000,9.37000000,3551552.34000000,32635454.36433000,85961
2024-03-25,9.37200000,9.83200000,9.28700000,9.73500000,6350466.97000000,60894231.33409000,134426
2024-03-26,9.73700000,10.05700000,9.52500000,9.68900000,8244078.96000000,80673527.43835000,174875
2024-03-27,9.68900000,9.81400000,9.30400000,9.44500000,7078224.52000000,67565489.84129000,146861
2024-03-28,9.44800000,9.65900000,9.30000000,9.52200000,5433742.81000000,51686915.65022000,124191
2024-03-29,9.52400000,9.81000000,9.34400000,9.60100000,6430200.46000000,61359950.63986000,129741
2024-03-30,9.60100000,9.69900000,9.38700000,9.42900000,3097586.67000000,29561625.44045000,76410
2024-03-31,9.42900000,9.64900000,9.41400000,9.64700000,2347041.29000000,22412540.66799000,56605
2024-04-01,9.64700000,9.74700000,8.92300000,9.14300000,6554213.02000000,60640113.48337000,142433
2024-04-02,9.14300000,9.14300000,8.37000000,8.58200000,8040640.57000000,69467412.20222000,180154
2024-04-03,8.58200000,8.78000000,8.28400000,8.41600000,5456340.40000000,46799379.00963000,125872
2024-04-04,8.41600000,8.71100000,8.26300000,8.48600000,5143837.32000000,43732433.43625000,95530
2024-04-05,8.48600000,8.51100000,8.07600000,8.37900000,4594358.61000000,38114145.02133000,87487
2024-04-06,8.37900000,8.55500000,8.32900000,8.49400000,3135750.79000000,26414887.39032000,56030
2024-04-07,8.49500000,8.74100000,8.45800000,8.70400000,3777830.16000000,32605410.22559000,68247
2024-04-08,8.70400000,9.09600000,8.57000000,9.04300000,5282323.07000000,47097531.48028000,100101
2024-04-09,9.04300000,9.13700000,8.63200000,8.65900000,6315720.00000000,56122742.15438000,124287
2024-04-10,8.65700000,8.70100000,8.12200000,8.40800000,6364196.82000000,53520436.99866000,129108
2024-04-11,8.40800000,8.52800000,8.18300000,8.38400000,4548223.43000000,37946317.36623000,82773
2024-04-12,8.38200000,8.49000000,6.50300000,7.24000000,18112289.17000000,133913522.69259000,379793
2024-04-13,7.24000000,7.33400000,5.69300000,6.38800000,21049661.80000000,137108512.81321000,459450
2024-04-14,6.38900000,6.92900000,6.19300000,6.85500000,15785330.10000000,103908491.11701000,296621
2024-04-15,6.85500000,7.20600000,6.42900000,6.70800000,9782724.46000000,66986966.76355000,166710
2024-04-16,6.70800000,6.82100000,6.37100000,6.70200000,5720075.35000000,37755851.85471000,115518
2024-04-17,6.70000000,6.77900000,6.32600000,6.58300000,4881081.63000000,32025544.18089000,96753
2024-04-18,6.58000000,6.82900000,6.44500000,6.78400000,3726348.91000000,24841284.31859000,81094
2024-04-19,6.78300000,6.91700000,6.27400000,6.68200000,7702126.65000000,51228128.14886000,137895
2024-04-20,6.68100000,7.28300000,6.60800000,7.24100000,3963964.15000000,27581039.65691000,71819
2024-04-21,7.24100000,7.28800000,6.96200000,7.14000000,2994106.76000000,21401341.30925000,50838
2024-04-22,7.13900000,7.58300000,7.08900000,7.46600000,5143305.97000000,38115624.70031000,93098
2024-04-23,7.46700000,7.54300000,7.20500000,7.24200000,4802056.52000000,35496925.27651000,78516
2024-04-24,7.24300000,7.50000000,6.85700000,6.93100000,6094306.22000000,43770713.70024000,101315
2024-04-25,6.93200000,7.00100000,6.70300000,6.86200000,4296277.37000000,29522566.81950000,71088
2024-04-26,6.86300000,6.95100000,6.71400000,6.76400000,4650325.63000000,31794011.83922000,67383
2024-04-27,6.76500000,6.86600000,6.51100000,6.80700000,3888055.62000000,26004283.68863000,64779
2024-04-28,6.80800000,6.95100000,6.69000000,6.72800000,2445507.20000000,16773666.67295000,43208
2024-04-29,6.72600000,6.82600000,6.47000000,6.58700000,3658934.18000000,24113568.60672000,63006
2024-04-30,6.58800000,6.66900000,6.04000000,6.42500000,7667235.19000000,48530605.89353000,115512
2024-05-01,6.42300000,6.93500000,6.12900000,6.89900000,9928379.44000000,64889057.77625000,175570
2024-05-02,6.90000000,7.40900000,6.69400000,7.27300000,5866303.67000000,41407190.75191000,109002
2024-05-03,7.27200000,7.38600000,7.00200000,7.24500000,6917886.48000000,49700402.13008000,109634
2024-05-04,7.24400000,7.28000000,7.10500000,7.12200000,3557671.87000000,25538079.66083000,71120
2024-05-05,7.12200000,7.40000000,7.01400000,7.30200000,4163778.64000000,29929648.88411000,72928
2024-05-06,7.30300000,7.47300000,7.06000000,7.12100000,4753151.15000000,34575115.49700000,94264
2024-05-07,7.11900000,7.29500000,6.97900000,6.99300000,3682848.45000000,26341986.89067000,64947
2024-05-08,6.99200000,7.18900000,6.89300000,6.98300000,3774626.84000000,26568875.86413000,75550
2024-05-09,6.98200000,7.08900000,6.78200000,7.05000000,3379414.81000000,23494022.92313000,75016
2024-05-10,7.04900000,7.14900000,6.99900000,7.06900000,1363191.80000000,9656810.83693000,29067
