Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2024-02-10,47132.78000000,48170.00000000,46800.00000000,47751.09000000,24802.35936000,1176079377.69227620,1323421,2486.56000000,2516.45000000,2471.57000000,2500.24000000,185099.59000000,461966177.39475600,622723,324.00000000,325.40000000,318.90000000,323.00000000,321477.06400000,103609947.22040000,149800
2024-02-11,47751.08000000,48592.66000000,47557.16000000,48299.99000000,29958.80837000,1443314885.77140530,1407270,2500.24000000,2539.63000000,2493.45000000,2507.21000000,219975.14710000,553430378.32506900,711081,323.00000000,324.90000000,320.10000000,320.70000000,280308.10500000,90370119.20850000,137326
2024-02-12,48300.00000000,50334.82000000,47710.01000000,49917.27000000,59009.96705000,2898220863.01818030,1939394,2507.22000000,2665.58000000,2472.00000000,2659.99000000,449501.77600000,1152087242.12635800,1019390,320.60000000,332.20000000,315.60000000,327.80000000,576734.16200000,186477781.44500000,222424
2024-02-13,49917.28000000,50368.61000000,48300.95000000,49699.59000000,55551.56706000,2745025370.06744710,1741811,2659.99000000,2686.12000000,2590.00000000,2639.99000000,502447.74500000,1328138932.92916900,1044885,327.90000000,329.20000000,318.60000000,324.70000000,441545.83000000,143321078.21640000,203711
2024-02-14,49699.60000000,52043.71000000,49225.01000000,51795.17000000,57046.37401000,2919604456.72331270,1859392,2639.99000000,2786.00000000,2618.40000000,2774.81000000,461670.69440000,1258639954.54766500,1090412,324.60000000,334.60000000,323.40000000,333.90000000,452466.98000000,149740983.61180000,200782
2024-02-15,51795.17000000,52816.62000000,51314.00000000,51880.00000000,53816.03055000,2802825737.99201540,1786569,2774.80000000,2867.65000000,2759.25000000,2822.59000000,481689.18740000,1353587492.51477500,1347619,333.90000000,366.60000000,333.30000000,354.20000000,1361590.40300000,478646206.09050000,448821
2024-02-16,51880.01000000,52572.08000000,51566.00000000,52124.11000000,37772.25318000,1965003863.97133420,1583711,2822.58000000,2857.40000000,2740.00000000,2801.80000000,378070.80370000,1062271564.48786000,1123447,354.30000000,366.80000000,349.10000000,360.40000000,1061855.98600000,380862085.14400000,360598
2024-02-17,52124.10000000,52162.82000000,50625.00000000,51642.64000000,25674.00622000,1319908544.97908910,1427773,2801.81000000,2804.21000000,2719.01000000,2785.93000000,243302.87590000,673711593.25171300,969157,360.40000000,363.70000000,348.20000000,352.90000000,630266.52000000,224091913.18480000,244807
2024-02-18,51642.64000000,52377.00000000,51163.28000000,52137.67000000,21992.10363000,1139209588.43346260,1375422,2785.92000000,2895.00000000,2764.25000000,2881.20000000,367987.88330000,1037802342.59328700,1311570,352.90000000,358.10000000,349.10000000,349.80000000,495667.63400000,174916562.04110000,224130
2024-02-19,52137.68000000,52488.77000000,51677.00000000,51774.73000000,29534.99432000,1539600521.60077290,1542990,2881.20000000,2984.52000000,2856.93000000,2944.80000000,446451.04010000,1302430726.12966100,1539410,349.80000000,356.20000000,349.30000000,351.60000000,830917.53400000,292956743.15040000,345997
2024-02-20,51774.74000000,52985.00000000,50760.37000000,52258.82000000,49614.47318000,2574874999.37871740,1971912,2944.80000000,3033.09000000,2874.56000000,3014.81000000,634681.74710000,1868745481.64754900,1517960,351.70000000,361.60000000,344.80000000,354.60000000,972650.55800000,344718252.38940000,339802
2024-02-21,52258.82000000,52366.80000000,50625.00000000,51849.39000000,43079.40049000,2210278288.72509470,1824860,3014.81000000,3017.15000000,2868.00000000,2967.90000000,595955.00330000,1746960179.79394000,1256455,354.60000000,379.30000000,350.90000000,379.20000000,1701415.31300000,622522220.34960000,514587
