Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2024-02-10,,,,,,,,,,,,,,
2024-02-11,,,,,,,,,,,,,,
2024-02-12,,,,,,,,,,,,,,
2024-02-13,,,,,,,,,,,,,,
2024-02-14,,,,,,,,,,,,,,
2024-02-15,,,,,,,,,,,,,,
2024-02-16,,,,,,,,,,,,,,
2024-02-17,,,,,,,,,,,,,,
2024-02-18,,,,,,,,,,,,,,
2024-02-19,,,,,,,,,,,,,,
2024-02-20,,,,,,,,,,,,,,
2024-02-21,,,,,,,,,,,,,,
2024-02-22,,,,,,,,,,,,,,
2024-02-23,,,,,,,,,,,,-12.59900085,,
2024-02-24,,,,,,63.97291196,,,,,,53.61806192,0.41285714,66.50143829
2024-02-25,,,,,,65.70691878,,,,,,91.10956683,0.40286735,71.12228001
2024-02-26,,,,,,68.61623526,,,,,,112.85669623,0.41223397,71.63773466
2024-02-27,,,,,,72.19461483,,,,90.21194438,80.24156998,212.52961805,0.41578868,73.36797554
2024-02-28,,,,,,71.22654951,,,,88.27768178,87.15084473,161.82056320,0.45766092,60.10807123
2024-02-29,7.73635000,7.73635000,8.44512282,7.73635000,7.02757718,68.46507737,,,,76.82719603,85.10560740,158.74355368,0.48711371,61.77277795
2024-03-01,7.80940000,7.82441190,8.58042202,7.80940000,7.03837798,73.85566402,,,,74.21223128,79.77236970,150.95064968,0.48174845,67.48510507
2024-03-02,7.92760000,7.98046791,8.91983735,7.92760000,6.93536265,80.90398969,,,,82.49727959,77.84556897,209.19392538,0.51098070,73.70737712
2024-03-03,8.04965000,8.15194716,9.29179078,8.04965000,6.80750922,82.87535601,,,,93.71851550,83.47600879,182.49394291,0.56905351,76.56174459
2024-03-04,8.17510000,8.31480934,9.60332308,8.17510000,6.74687692,83.34694240,,,,93.61703656,89.94427721,184.76030893,0.58626397,79.29783204
2024-03-05,8.25865000,8.41054178,9.74818070,8.25865000,6.76911930,69.54594507,,,,80.08683617,89.14079608,106.46450916,0.72953083,66.72565424
2024-03-06,8.39680000,8.61372828,10.16916989,8.39680000,6.62443011,78.28906077,,,,79.48935104,84.39774126,132.46785534,0.79427863,72.54371539
2024-03-07,8.53455000,8.78403987,10.47287923,8.53455000,6.59622077,75.57818771,,,,78.98735287,79.52118003,142.15169730,0.79404444,73.99815888
2024-03-08,8.68120000,8.96051226,10.78291165,8.68120000,6.57948835,76.99771357,,,35.21622106,89.18671856,82.55447416,112.81448740,0.79118412,67.38763077
2024-03-09,8.81285000,9.10646348,11.01954774,8.81285000,6.60615226,74.15341054,,,34.16876473,86.32121080,84.83176074,111.48431159,0.77331383,68.35775793
2024-03-10,8.92445000,9.21641934,11.18636074,8.92445000,6.66253926,69.68698706,,,32.28013676,84.45478288,86.65423741,74.28474220,0.76171998,64.84008437
2024-03-11,9.09005000,9.39037940,11.46056323,9.09005000,6.71953677,75.12556590,,,31.50028292,85.90315767,85.55971711,96.02112355,0.81145427,66.68714516
2024-03-12,9.25355000,9.51853374,11.60444910,9.25355000,6.90265090,69.82884048,,,30.77613292,86.01304376,85.45699477,80.78112386,0.83420754,60.83377881
