Open_time,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase
2024-03-21,64,78,66543
2024-03-22,56,66,68616
2024-03-23,32,37,37381
2024-03-24,31,16,40927
2024-03-25,36,48,46920
2024-03-26,49,47,55875
2024-03-27,23,22,56147
2024-03-28,54,103,43771
2024-03-29,65,65,44322
2024-03-30,24,48,31082
2024-03-31,15,19,29472
2024-04-01,31,46,57710
2024-04-02,57,44,74643
2024-04-03,62,54,49879
2024-04-04,44,45,44081
2024-04-05,20,39,38732
2024-04-06,8,7,26789
2024-04-07,11,13,27525
2024-04-08,20,32,38745
2024-04-09,73,44,52769
2024-04-10,47,60,81524
2024-04-11,40,29,36096
2024-04-12,89,113,111995
2024-04-13,87,126,138672
2024-04-14,24,57,84059
2024-04-15,19,30,60845
2024-04-16,22,13,41431
2024-04-17,17,11,35062
2024-04-18,27,22,39044
2024-04-19,35,35,49992
2024-04-20,34,25,37309
2024-04-21,17,13,28515
2024-04-22,42,55,42572
2024-04-23,154,88,37826
2024-04-24,64,35,44389
2024-04-25,21,26,33468
2024-04-26,29,24,26619
2024-04-27,17,17,25565
2024-04-28,16,20,20954
2024-04-29,69,37,33959
2024-04-30,51,55,48709
2024-05-01,42,50,83718
2024-05-02,87,57,61208
2024-05-03,52,40,46255
2024-05-04,68,50,34251
2024-05-05,37,52,29197
2024-05-06,49,71,40027
2024-05-07,21,25,31028
2024-05-08,17,24,32040
2024-05-09,18,17,29314
2024-05-10,9,8,9742
