Open_time,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase
2021-09-28,4,2,5273
2021-09-29,22,40,54144
2021-09-30,15,23,39220
2021-10-01,24,35,63183
2021-10-02,9,24,48971
2021-10-03,14,19,40780
2021-10-04,10,13,40810
2021-10-05,12,13,45695
2021-10-06,49,27,71162
2021-10-07,31,37,82810
2021-10-08,31,22,57182
2021-10-09,25,35,74042
2021-10-10,38,27,68739
2021-10-11,5,25,60922
2021-10-12,18,16,67722
2021-10-13,69,118,160524
2021-10-14,33,38,120253
2021-10-15,30,42,129734
2021-10-16,20,30,92044
2021-10-17,25,33,68283
2021-10-18,17,18,70832
2021-10-19,14,13,67030
2021-10-20,18,12,94847
2021-10-21,24,27,101951
2021-10-22,25,35,102141
2021-10-23,15,13,58540
2021-10-24,19,11,64449
2021-10-25,14,23,62321
2021-10-26,43,76,88554
2021-10-27,103,64,112155
2021-10-28,31,22,100342
2021-10-29,64,74,85357
2021-10-30,36,44,55452
2021-10-31,63,17,78176
2021-11-01,76,83,176558
2021-11-02,61,67,179800
2021-11-03,44,46,150540
2021-11-04,44,31,119018
2021-11-05,11,13,90525
2021-11-06,49,25,83250
2021-11-07,9,14,71764
2021-11-08,11,18,87065
2021-11-09,40,11,95230
2021-11-10,39,43,156145
2021-11-11,12,10,102407
2021-11-12,11,8,98614
2021-11-13,3,5,62449
2021-11-14,6,2,53884
2021-11-15,3,11,66974
2021-11-16,24,30,167608
2021-11-17,17,24,92010
2021-11-18,10,19,109018
2021-11-19,2,3,84426
2021-11-20,9,3,52159
2021-11-21,4,13,61657
2021-11-22,3,5,65166
2021-11-23,4,7,55989
2021-11-24,12,10,63745
2021-11-25,2,2,59505
2021-11-26,27,13,124643
2021-11-27,16,13,60935
2021-11-28,5,25,77980
2021-11-29,13,19,61736
2021-11-30,25,18,70896
2021-12-01,41,71,84442
2021-12-02,31,10,71964
2021-12-03,46,25,87091
2021-12-04,153,45,183838
2021-12-05,28,38,102315
2021-12-06,59,89,120264
2021-12-07,18,36,88384
2021-12-08,27,22,73235
2021-12-09,7,22,79712
2021-12-10,9,20,65416
2021-12-11,27,17,63441
2021-12-12,7,16,46674
2021-12-13,20,19,73700
2021-12-14,17,18,58821
2021-12-15,24,26,78344
2021-12-16,38,53,60480
2021-12-17,43,43,62930
2021-12-18,17,32,44420
2021-12-19,13,19,39154
2021-12-20,48,34,53946
2021-12-21,43,38,46356
2021-12-22,111,69,67016
2021-12-23,47,43,69385
2021-12-24,23,12,48265
2021-12-25,7,7,33434
2021-12-26,40,42,64429
2021-12-27,17,22,62944
2021-12-28,40,33,87242
2021-12-29,21,21,62763
2021-12-30,26,30,59267
2021-12-31,31,32,65341
2022-01-01,19,17,45652
2022-01-02,9,21,59465
2022-01-03,37,67,75464
2022-01-04,40,23,64927
2022-01-05,52,27,84153
2022-01-06,47,40,78264
2022-01-07,44,58,87515
2022-01-08,25,17,73035
2022-01-09,18,35,55428
2022-01-10,40,24,64540
2022-01-11,19,19,51902
2022-01-12,32,34,50125
2022-01-13,29,20,39362
2022-01-14,24,26,48016
2022-01-15,9,8,34090
2022-01-16,16,5,33176
2022-01-17,26,18,45858
2022-01-18,22,26,39922
2022-01-19,17,14,36862
2022-01-20,26,13,40706
2022-01-21,43,40,99466
2022-01-22,78,78,107953
2022-01-23,19,10,64698
2022-01-24,65,38,85626
2022-01-25,26,25,54453
2022-01-26,64,52,67720
2022-01-27,20,9,44258
2022-01-28,14,24,39972
2022-01-29,5,16,35261
2022-01-30,12,13,32814
2022-01-31,74,55,56604
2022-02-01,45,47,52186
2022-02-02,50,42,48084
2022-02-03,14,17,36380
2022-02-04,60,44,40084
2022-02-05,36,32,42545
2022-02-06,14,16,28534
2022-02-07,41,36,44870
2022-02-08,30,17,44134
2022-02-09,12,17,31451
2022-02-10,26,28,44486
2022-02-11,18,16,47362
2022-02-12,12,10,34949
2022-02-13,10,10,24185
2022-02-14,12,8,27095
