Open_time,Buy_1000x_high,sell_1000x_high,total_trades_binance
2022-01-04 03:00:00,0,0,221000.00000000
2022-01-05 03:00:00,661,537,355000.00000000
2022-01-06 03:00:00,475,512,196000.00000000
2022-01-07 03:00:00,593,528,285000.00000000
2022-01-08 03:00:00,558,499,170000.00000000
2022-01-09 03:00:00,349,339,126000.00000000
2022-01-10 03:00:00,562,470,201000.00000000
2022-01-11 03:00:00,452,491,162000.00000000
2022-01-12 03:00:00,370,368,213000.00000000
2022-01-13 03:00:00,403,625,217000.00000000
2022-01-14 03:00:00,378,416,184000.00000000
2022-01-15 03:00:00,257,284,173000.00000000
2022-01-16 03:00:00,605,413,160000.00000000
2022-01-17 03:00:00,354,287,154000.00000000
2022-01-18 03:00:00,325,243,130000.00000000
2022-01-19 03:00:00,296,226,117000.00000000
2022-01-20 03:00:00,346,329,182000.00000000
2022-01-21 03:00:00,630,426,303000.00000000
2022-01-22 03:00:00,749,598,342000.00000000
2022-01-23 03:00:00,463,428,165000.00000000
2022-01-24 03:00:00,772,666,261000.00000000
2022-01-25 03:00:00,369,388,144000.00000000
2022-01-26 03:00:00,746,629,234000.00000000
2022-01-27 03:00:00,300,309,119000.00000000
2022-01-28 03:00:00,293,329,108000.00000000
2022-01-29 03:00:00,226,231,86000.00000000
2022-01-30 03:00:00,343,238,91000.00000000
2022-01-31 03:00:00,296,325,126000.00000000
2022-02-01 03:00:00,500,482,161000.00000000
2022-02-02 03:00:00,431,345,156000.00000000
2022-02-03 03:00:00,262,302,96000.00000000
2022-02-04 03:00:00,480,513,160000.00000000
2022-02-05 03:00:00,448,608,206000.00000000
2022-02-06 03:00:00,254,250,115000.00000000
2022-02-07 03:00:00,678,604,231000.00000000
2022-02-08 03:00:00,537,420,181000.00000000
2022-02-09 03:00:00,288,234,89000.00000000
2022-02-10 03:00:00,581,453,200000.00000000
2022-02-11 03:00:00,547,433,124000.00000000
2022-02-12 03:00:00,336,343,97000.00000000
2022-02-13 03:00:00,306,303,68000.00000000
2022-02-14 03:00:00,272,214,75000.00000000
2022-02-15 03:00:00,231,224,93000.00000000
2022-02-16 03:00:00,399,280,91000.00000000
2022-02-17 03:00:00,624,352,121000.00000000
2022-02-18 03:00:00,353,259,83000.00000000
2022-02-19 03:00:00,189,205,56000.00000000
2022-02-20 03:00:00,449,357,93000.00000000
2022-02-21 03:00:00,599,460,149000.00000000
2022-02-22 03:00:00,485,401,91000.00000000
2022-02-23 03:00:00,643,601,131000.00000000
2022-02-24 03:00:00,1109,984,231000.00000000
2022-02-25 03:00:00,491,506,134000.00000000
2022-02-26 03:00:00,607,459,150000.00000000
2022-02-27 03:00:00,517,515,136000.00000000
2022-02-28 03:00:00,823,1161,214000.00000000
2022-03-01 03:00:00,679,602,159000.00000000
2022-03-02 03:00:00,471,419,131000.00000000
2022-03-03 03:00:00,441,324,116000.00000000
2022-03-04 03:00:00,405,302,108000.00000000
2022-03-05 03:00:00,193,193,91000.00000000
2022-03-06 03:00:00,373,282,105000.00000000
2022-03-07 03:00:00,255,261,117000.00000000
2022-03-08 03:00:00,273,270,102000.00000000
2022-03-09 03:00:00,253,250,99000.00000000
2022-03-10 03:00:00,192,176,88000.00000000
2022-03-11 03:00:00,539,592,164000.00000000
2022-03-12 03:00:00,333,340,146000.00000000
2022-03-13 03:00:00,262,206,99000.00000000
2022-03-14 03:00:00,183,168,83000.00000000
2022-03-15 03:00:00,245,245,100000.00000000
2022-03-16 03:00:00,487,479,146000.00000000
2022-03-17 03:00:00,264,216,59000.00000000
2022-03-18 03:00:00,291,311,79000.00000000
2022-03-19 03:00:00,302,291,94000.00000000
2022-03-20 03:00:00,260,192,70000.00000000
2022-03-21 03:00:00,260,214,80000.00000000
2022-03-22 03:00:00,454,459,207000.00000000
2022-03-23 03:00:00,432,376,200000.00000000
2022-03-24 03:00:00,312,335,137000.00000000
2022-03-25 03:00:00,289,238,100000.00000000
2022-03-26 03:00:00,174,190,50000.00000000
2022-03-27 03:00:00,331,367,167000.00000000
2022-03-28 03:00:00,497,461,171000.00000000
2022-03-29 03:00:00,566,535,142000.00000000
2022-03-30 03:00:00,523,538,134000.00000000
2022-03-31 03:00:00,693,486,158000.00000000
2022-04-01 03:00:00,435,445,148000.00000000
2022-04-02 03:00:00,633,622,266000.00000000
