Open_time,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase
2022-01-05,52,27,84153
2022-01-06,47,40,78264
2022-01-07,44,58,87515
2022-01-08,25,17,73035
2022-01-09,18,35,55428
2022-01-10,40,24,64540
2022-01-11,19,19,51902
2022-01-12,32,34,50125
2022-01-13,29,20,39362
2022-01-14,24,26,48016
2022-01-15,9,8,34090
2022-01-16,16,5,33176
2022-01-17,26,18,45858
2022-01-18,22,26,39922
2022-01-19,17,14,36862
2022-01-20,26,13,40706
2022-01-21,43,40,99466
2022-01-22,78,78,107953
2022-01-23,19,10,64698
2022-01-24,65,38,85626
2022-01-25,26,25,54453
2022-01-26,64,52,67720
2022-01-27,20,9,44258
2022-01-28,14,24,39972
2022-01-29,5,16,35261
2022-01-30,12,13,32814
2022-01-31,74,55,56604
2022-02-01,45,47,52186
2022-02-02,50,42,48084
2022-02-03,14,17,36380
2022-02-04,60,44,40084
2022-02-05,36,32,42545
2022-02-06,14,16,28534
2022-02-07,41,36,44870
2022-02-08,30,17,44134
2022-02-09,12,17,31451
2022-02-10,26,28,44486
2022-02-11,18,16,47362
2022-02-12,12,10,34949
2022-02-13,10,10,24185
2022-02-14,12,8,27095
2022-02-15,8,14,25770
2022-02-16,15,11,25218
2022-02-17,17,7,32251
2022-02-18,9,13,28379
2022-02-19,7,17,20808
2022-02-20,34,37,30974
2022-02-21,32,29,39332
2022-02-22,23,31,33145
2022-02-23,31,37,31779
2022-02-24,74,59,68660
2022-02-25,42,17,30204
2022-02-26,50,39,39304
2022-02-27,47,30,34070
2022-02-28,58,67,43318
2022-03-01,46,31,39826
2022-03-02,34,53,31110
2022-03-03,25,37,22483
2022-03-04,51,59,28571
2022-03-05,22,28,20710
2022-03-06,17,17,20462
2022-03-07,39,35,30071
2022-03-08,20,20,21558
2022-03-09,31,25,23685
2022-03-10,20,14,19468
2022-03-11,64,49,33503
2022-03-12,58,59,26453
2022-03-13,44,19,20043
2022-03-14,32,35,19266
2022-03-15,20,24,18504
2022-03-16,48,43,33157
2022-03-17,18,18,21047
2022-03-18,15,15,23560
2022-03-19,23,16,23689
2022-03-20,22,14,19308
2022-03-21,13,17,18666
2022-03-22,32,19,29422
2022-03-23,28,20,33281
2022-03-24,31,27,32373
2022-03-25,25,26,25549
2022-03-26,19,23,20471
2022-03-27,18,15,30048
2022-03-28,17,32,43982
2022-03-29,21,16,32526
2022-03-30,24,13,34746
2022-03-31,21,26,38497
2022-04-01,23,19,31612
2022-04-02,18,13,35705
2022-04-03,32,14,28569
2022-04-04,29,27,27427
2022-04-05,23,16,25694
2022-04-06,17,10,41956
2022-04-07,8,13,25407
2022-04-08,9,8,22252
2022-04-09,7,1,17073
2022-04-10,7,6,16710
2022-04-11,43,26,44836
2022-04-12,27,17,30827
2022-04-13,8,11,19331
2022-04-14,9,8,17989
2022-04-15,6,7,16962
2022-04-16,3,4,14571
2022-04-17,9,7,14259
2022-04-18,9,16,23323
2022-04-19,23,12,16744
2022-04-20,17,7,25003
2022-04-21,9,8,29371
2022-04-22,11,12,20608
2022-04-23,27,11,20445
2022-04-24,3,7,19555
2022-04-25,13,21,28407
2022-04-26,19,18,31241
2022-04-27,10,9,22908
2022-04-28,20,16,23914
2022-04-29,16,13,24526
2022-04-30,24,5,29402
2022-05-01,20,8,28837
2022-05-02,21,35,29354
2022-05-03,10,4,21360
2022-05-04,14,15,30267
2022-05-05,28,9,41391
2022-05-06,23,15,36917
2022-05-07,9,7,22729
2022-05-08,11,7,26923
2022-05-09,38,25,66320
2022-05-10,30,54,79486
2022-05-11,147,177,112680
2022-05-12,97,95,94504
2022-05-13,116,114,79685
2022-05-14,65,66,45605
2022-05-15,32,23,32527
2022-05-16,42,41,30717
2022-05-17,27,32,21909
2022-05-18,23,19,27617
2022-05-19,21,15,29888
2022-05-20,27,17,31088
2022-05-21,9,11,20625
2022-05-22,4,7,18910
2022-05-23,18,42,25426
2022-05-24,7,16,20403
2022-05-25,46,24,19889
2022-05-26,40,40,30752
2022-05-27,37,44,40736
2022-05-28,13,17,18547
2022-05-29,14,25,17848
2022-05-30,40,122,25545
2022-05-31,31,31,22395
2022-06-01,35,32,24733
2022-06-02,37,24,20885
2022-06-03,24,13,22078
2022-06-04,19,17,17704
2022-06-05,5,3,9771
2022-06-06,36,44,17229
2022-06-07,44,39,21321
2022-06-08,19,24,15071
2022-06-09,28,70,18814
2022-06-10,43,56,25813
2022-06-11,24,56,26791
2022-06-12,37,43,32427
2022-06-13,99,97,62833
2022-06-14,91,76,44428
2022-06-15,111,69,51255
2022-06-16,63,51,37784
2022-06-17,61,69,32548
2022-06-18,137,51,42896
2022-06-19,21,41,31758
2022-06-20,39,37,25555
2022-06-21,37,32,23747
2022-06-22,30,44,26901
2022-06-23,58,130,30492
2022-06-24,22,35,23585
2022-06-25,27,27,19509
2022-06-26,17,22,19989
2022-06-27,10,18,18146
2022-06-28,19,17,22560
2022-06-29,48,57,26276
2022-06-30,25,37,33162
2022-07-01,24,101,33184
2022-07-02,21,18,16433
2022-07-03,8,10,11783
2022-07-04,23,16,14425
2022-07-05,63,40,23366
2022-07-06,62,43,23879
2022-07-07,30,35,18327
2022-07-08,19,14,16904
2022-07-09,11,12,12448
2022-07-10,16,20,14606
2022-07-11,41,41,18404
2022-07-12,21,53,20839
2022-07-13,26,30,24127
2022-07-14,23,31,18146
2022-07-15,34,100,17913
2022-07-16,43,76,20407
2022-07-17,27,19,14744
2022-07-18,104,57,26590
2022-07-19,104,72,31634
2022-07-20,108,78,28814
2022-07-21,33,64,20109
2022-07-22,37,32,17042
2022-07-23,34,15,14043
2022-07-24,16,15,11844
2022-07-25,36,43,22286
2022-07-26,44,29,18967
2022-07-27,32,22,21737
2022-07-28,130,123,34554
2022-07-29,63,64,31088
2022-07-30,54,45,25841
2022-07-31,42,42,27176
2022-08-01,84,49,26064
2022-08-02,70,78,29183
2022-08-03,48,73,34254
2022-08-04,19,27,20193
2022-08-05,57,44,28575
2022-08-06,14,29,16947
2022-08-07,29,31,15560
2022-08-08,128,67,28747
2022-08-09,38,46,22340
2022-08-10,59,44,28673
2022-08-11,33,24,22337
2022-08-12,76,62,19940
2022-08-13,40,50,16496
2022-08-14,54,44,23170
2022-08-15,74,56,22000
2022-08-16,72,60,24857
2022-08-17,23,32,24443
2022-08-18,43,35,22150
2022-08-19,32,35,36535
2022-08-20,14,8,22407
2022-08-21,5,11,16546
2022-08-22,7,22,19969
2022-08-23,24,21,16178
2022-08-24,9,26,16511
2022-08-25,14,10,12085
2022-08-26,26,18,20752
2022-08-27,29,34,17689
2022-08-28,14,12,14189
2022-08-29,14,23,28127
2022-08-30,8,11,29791
2022-08-31,4,6,28454
2022-09-01,8,3,20168
2022-09-02,6,7,30837
2022-09-03,6,2,10081
2022-09-04,12,3,9428
2022-09-05,12,24,19693
2022-09-06,20,27,31453
2022-09-07,20,4,31318
2022-09-08,13,15,21179
2022-09-09,18,24,32796
2022-09-10,10,56,19644
2022-09-11,6,4,17471
2022-09-12,37,66,31853
2022-09-13,45,32,22020
2022-09-14,11,24,14069
2022-09-15,14,9,15763
2022-09-16,22,8,15593
2022-09-17,10,9,8381
2022-09-18,23,25,14097
2022-09-19,21,24,38435
2022-09-20,15,10,21111
2022-09-21,33,32,30955
2022-09-22,18,23,24746
2022-09-23,13,51,26442
2022-09-24,10,7,16593
2022-09-25,11,16,16869
2022-09-26,72,40,28427
2022-09-27,19,31,27247
2022-09-28,21,11,21907
2022-09-29,17,21,21598
2022-09-30,34,44,22430
2022-10-01,7,9,13806
2022-10-02,21,13,12881
2022-10-03,14,14,14485
2022-10-04,7,8,15468
2022-10-05,21,32,19738
2022-10-06,7,8,17884
2022-10-07,13,7,14497
2022-10-08,5,3,10399
2022-10-09,5,9,11073
2022-10-10,12,15,13282
2022-10-11,15,20,13559
2022-10-12,3,10,8780
2022-10-13,48,65,26561
2022-10-14,42,39,15293
2022-10-15,6,14,10665
2022-10-16,4,3,7535
2022-10-17,11,11,9393
2022-10-18,13,17,14645
2022-10-19,7,11,18783
2022-10-20,15,26,26292
2022-10-21,90,79,31413
2022-10-22,31,21,16322
2022-10-23,4,11,15980
2022-10-24,11,47,17538
2022-10-25,92,137,43384
2022-10-26,22,32,29144
2022-10-27,18,9,23998
2022-10-28,2,5,17449
2022-10-29,10,17,19164
2022-10-30,8,9,17870
2022-10-31,3,29,29705
2022-11-01,10,3,18183
2022-11-02,25,38,27780
2022-11-03,21,15,23193
2022-11-04,37,24,31311
2022-11-05,24,14,25314
2022-11-06,16,11,33318
2022-11-07,13,18,30191
2022-11-08,52,81,75727
2022-11-09,102,56,130430
2022-11-10,74,44,45227
2022-11-11,44,50,33106
2022-11-12,48,67,25546
2022-11-13,90,45,29090
2022-11-14,25,84,27840
2022-11-15,4,3,19962
2022-11-16,4,0,18213
2022-11-17,7,1,23551
2022-11-18,12,2,20863
2022-11-19,7,13,16941
2022-11-20,19,24,27542
2022-11-21,23,14,34149
2022-11-22,17,6,25319
2022-11-23,14,35,23275
2022-11-24,13,22,21178
2022-11-25,6,7,15787
2022-11-26,8,3,13791
2022-11-27,5,6,11497
2022-11-28,5,7,15967
2022-11-29,12,8,13150
2022-11-30,12,9,18730
2022-12-01,4,3,31460
2022-12-02,7,5,42687
2022-12-03,1,2,17533
2022-12-04,3,4,21433
2022-12-05,15,8,21002
2022-12-06,0,0,19748
2022-12-07,9,14,19639
2022-12-08,1,2,13847
2022-12-09,2,2,14727
2022-12-10,1,0,10320
2022-12-11,1,1,13099
2022-12-12,5,2,18552
2022-12-13,4,5,16630
2022-12-14,8,14,19894
2022-12-15,7,2,13327
2022-12-16,11,9,19945
2022-12-17,7,8,21212
2022-12-18,1,4,15223
2022-12-19,18,7,19545
2022-12-20,6,4,14207
2022-12-21,5,3,12753
2022-12-22,6,14,12067
2022-12-23,7,14,11887
2022-12-24,4,10,6796
2022-12-25,18,4,5399
2022-12-26,5,4,5793
2022-12-27,6,14,12141
2022-12-28,10,19,18459
2022-12-29,17,18,12399
2022-12-30,13,12,10615
2022-12-31,8,8,7984
2023-01-01,10,3,8646
2023-01-02,7,23,13144
2023-01-03,25,4,9498
2023-01-04,7,7,15511
2023-01-05,17,27,11657
2023-01-06,5,7,14649
2023-01-07,5,4,9578
2023-01-08,7,9,10397
2023-01-09,9,37,23069
2023-01-10,9,5,12169
2023-01-11,10,11,13584
2023-01-12,30,19,20655
2023-01-13,7,14,14579
2023-01-14,40,27,41496
2023-01-15,4,7,35033
2023-01-16,13,16,40207
2023-01-17,8,12,32280
2023-01-18,22,29,25571
2023-01-19,6,5,13788
2023-01-20,10,28,16061
2023-01-21,32,17,28128
2023-01-22,9,14,18752
2023-01-23,30,33,21986
2023-01-24,27,26,18308
2023-01-25,22,14,28940
2023-01-26,17,6,23798
2023-01-27,17,16,21767
2023-01-28,8,8,20493
2023-01-29,10,11,20279
2023-01-30,15,8,24284
2023-01-31,1,11,22751
2023-02-01,11,17,25029
2023-02-02,33,35,34551
2023-02-03,11,16,38959
2023-02-04,2,4,16341
2023-02-05,5,2,23360
2023-02-06,12,5,38097
2023-02-07,14,9,37116
2023-02-08,3,6,26466
2023-02-09,38,23,43111
2023-02-10,16,13,16192
2023-02-11,4,1,5816
2023-02-12,4,3,7759
2023-02-13,12,10,17651
2023-02-14,6,2,12036
2023-02-15,33,20,17556
2023-02-16,17,8,18816
2023-02-17,40,18,42369
2023-02-18,11,8,19884
2023-02-19,19,9,35430
2023-02-20,19,6,21956
2023-02-21,24,29,29713
2023-02-22,23,15,26462
2023-02-23,9,3,19085
2023-02-24,21,6,30828
2023-02-25,1,2,18854
2023-02-26,6,12,12846
2023-02-27,4,6,15231
2023-02-28,9,3,25697
2023-03-01,14,5,28251
2023-03-02,4,2,20446
2023-03-03,36,21,27679
2023-03-04,15,3,9116
2023-03-05,3,5,11088
2023-03-06,10,14,19734
2023-03-07,21,18,27520
2023-03-08,18,13,39363
2023-03-09,33,19,34160
2023-03-10,124,134,40953
2023-03-11,22,28,25256
2023-03-12,17,29,21059
2023-03-13,46,43,33110
2023-03-14,33,45,40025
2023-03-15,28,7,34273
2023-03-16,24,28,23007
2023-03-17,6,8,18247
2023-03-18,10,8,15957
2023-03-19,10,2,12031
2023-03-20,15,4,16614
2023-03-21,11,7,15064
2023-03-22,14,8,19273
2023-03-23,11,9,13476
2023-03-24,7,8,13275
2023-03-25,5,4,8864
2023-03-26,8,1,6269
2023-03-27,8,7,11221
2023-03-28,7,9,9350
2023-03-29,16,23,10031
2023-03-30,5,3,10283
2023-03-31,3,10,10243
2023-04-01,1,6,7912
2023-04-02,2,4,8493
2023-04-03,19,5,12990
